video_id,title,publish_date
fPopFeqw5sk,Learn NumPy data types in 8 minutes! 💱,2025-11-21
81i_uSX9Vic,Useful NumPy functions you should know! 🎚️,2025-11-12
k0D3MQwLn7A,Learn Python iterators in 7 minutes! ➡️,2025-11-10
ZBlxaXMN_hU,Learn Python generator expressions in 9 minutes! ♻️,2025-11-07
c9vhHUGdav0,Learn Matplotlib in 1 hour! 📊,2025-10-09
hunq_UOdmoo,Matplotlib customization is easy! 🎨,2025-09-30
OUnnuKHbmbU,DataFrames in Pandas are easy! 🔢,2025-09-04
6WaBryk4fkE,Slicing in NumPy is easy! ✂️,2025-07-27
mjiHc965UME,Convert decimal to hexadecimal EASY!  #coding #programming #computerscience,2025-07-20
aMME_rYkoOU,Learn hexadecimal in 0x7A seconds,2025-07-16
tg5Wv9Ba1lI,Learn binary in 01000000 seconds #coding #computerscience #programming,2025-07-13
J6qXny_UAK4,Learn binary in 01000001 seconds,2025-07-13
ZwSyuqbeN0c,Arrays of structs are easy! 🗄️,2025-04-25
rUXjvybSPWc,Realloc in C explained easy! 🚢,2025-04-22
eIlcl-mt3tg,Read files using C programming in 6 minutes! 📖,2025-04-12
Jx12Vf0VxmY,The ternary operator is easy! ❓,2025-04-04
y4siEcxgOpM,Initialize an array with user input in C ➡️,2025-03-28
6Hk2aE_SRzY,Arrays in C are easy! 🗃️,2025-03-27
Z5smVeUVNFU,Let&#39;s code a BANK PROGRAM with C programming! 💵,2025-03-24
zdAggA1q0eo,Learn C for loops in 6 minutes! 🔂,2025-03-19
NEj2H7SoTzQ,Learn function prototypes in 5 minutes! 📌,2025-03-17
NtlSzRWhaOc,Switches in C are easy! 💡,2025-03-06
wt194lO5kKE,Let&#39;s code a mad libs game with C programming! 📖,2025-03-02
taI7G6U29L8,Learn Java multithreading in 8 minutes! 🧶,2024-12-27
P_iOnmdww8E,Learn Java anonymous classes in 5 minutes! 🕵️‍♂️,2024-12-19
Pg0aoSbrqOE,How to WRITE FILES with Java in 8 minutes! ✍,2024-12-12
wsTSREgCE5E,Learn Java arraylists in 9 minutes! 📃,2024-12-08
OjrR_C_UPjc,Learn Java getters and setters in 10 minutes! 🔐,2024-12-05
hx_DRanBRRM,Learn Java METHOD OVERRIDING in 4 minutes! ♻️,2024-12-05
ZD7CB6wKg8A,Learn CONSTRUCTORS in 10 minutes! 🔨,2024-12-05
LN45TyPWAAg,Learn the Java super keyword in 10 minutes! 🔝,2024-12-05
DYbi93vuSaU,Learn Java Object Oriented Programming in 10 minutes! 🧱,2024-12-05
Qf3Nczxm2AY,Learn Java 2D arrays in 9 minutes! ⬜,2024-12-05
ah5bAnGpmKY,Enter USER INPUT into an ARRAY! ➡️,2024-12-05
9dr2mHYYoug,Learn Java arrays in 9 minutes! 🍎,2024-12-05
iGo1Syv4YuM,Learn BREAK &amp; CONTINUE in 2 minutes! 🚦,2024-12-05
nhnAx79gxCM,Learn Java overloaded methods in 6 minutes! 🍕,2024-12-05
44iQGNUcik0,Java substrings are easy! 📧,2024-12-05
DFhpzaEOoxs,Let&#39;s code a WEIGHT CONVERTER in Java! 🏋️,2024-12-05
23VT2wh3BG4,Nested if statements are easy! 🎟️,2024-12-05
IgdIfGW-cVU,Code a Java compound interest calculator in 7 minutes! 💸,2024-12-05
8KCuHHeC_M0,Learn Python in 1 hour! 🐍,2024-08-18
4wGuB3oAKc4,Python Projects for Beginners 🐍,2024-08-13
Q4377DH5Jso,Create a weather app with Python! ☀️,2024-08-08
UKs0xhxSOg0,Code a stopwatch using Python! ⏱,2024-08-02
