video_id,title,published_date,year,month,title_length,transcript,error
UsfpzxZNsPo,Python Essentials for AI Agents – Tutorial,2026-02-25 11:00:52+00:00,2026,2,42,,
U6-RekkuORI,Closures in JavaScript explained with a simple backpack analogy,2026-02-24 13:05:28+00:00,2026,2,63,,
bB5eA7vU9W8,Learn Notion – Full Course for Beginners,2026-02-24 11:00:57+00:00,2026,2,40,,
Ai00MsNabaE,True or false: computers only understand 1s and 0s...?,2026-02-23 13:17:29+00:00,2026,2,54,,
QMgIovzpYVw,"When you're working, work hard. And when you relax, relax hard.",2026-02-22 13:43:36+00:00,2026,2,63,,
Tbqmz0ZP8q8,"Coding and chess are similar - they're both require deep thinking, patience, and creativity",2026-02-21 13:32:20+00:00,2026,2,91,,
uJAUeXLXHrY,Learn Regex basics in 60 seconds from Beau Carnes,2026-02-20 13:18:30+00:00,2026,2,49,,
kQqrMNviM9U,The three paths AI could take from here - Shawn Wang SWYX interview [Podcast #208],2026-02-20 11:01:18+00:00,2026,2,82,,
BrBMM2gIQN8,Prepping for interviews? Here are some practical tips to help you out.,2026-02-19 12:52:33+00:00,2026,2,70,,
fQbBPa0ADvs,Computer Networking Fundamentals Course,2026-02-18 15:00:57+00:00,2026,2,39,,
HEGrkgpe7-Y,JavaScript was famously designed in 10 days - so how'd it evolve to handle complex apps?,2026-02-18 13:29:33+00:00,2026,2,88,,
oRZouQxC5Gw,"When you're learning a new skill, you've gotta be consistent for long enough to make a difference",2026-02-17 13:10:39+00:00,2026,2,97,,
NDdCrvC79eg,Chess Strategy – Master the Italian Game and Avoid Common Traps,2026-02-16 14:36:05+00:00,2026,2,63,,
u1T8yyEEKWY,Learn SQL basics in 60 seconds from Beau Carnes,2026-02-16 13:17:29+00:00,2026,2,47,,
pdleuy5lljY,Knitting and coding may not seem related - but they are,2026-02-15 13:43:20+00:00,2026,2,55,,
wP8SiwiExBk,"What is Homebrew? It's not coffee, it's not beer, it's...a package manager!",2026-02-14 13:32:23+00:00,2026,2,75,,
UJjKVceWmdM,Knowing how to ask the right question is a valuable skill to cultivate,2026-02-13 13:18:29+00:00,2026,2,70,,
cjam-BWAaL8,Why maintaining a codebase is so damn hard – with OhMyZSH creator Robby Russell [Podcast #207],2026-02-13 11:01:10+00:00,2026,2,94,,
lEcULR30-GM,Master Full-Stack Docker & CI/CD – Build a Production-Ready Pipeline,2026-02-12 14:02:47+00:00,2026,2,68,,
7ysrM5BMe6Q,Don't get so wrapped up in the details that you forget the joy of coding,2026-02-12 12:52:59+00:00,2026,2,72,,
ug8W0sFiVJo,Hands-On Cybersecurity and Ethical Hacking – Full Course,2026-02-11 14:37:23+00:00,2026,2,56,,
KUbbb0T1YZ8,Have you ever wondered where Python got its name?,2026-02-11 13:29:30+00:00,2026,2,49,,
J7sQe2n0z6Q,Sometimes it's about balancing what your boss wants you to do with what you want to do,2026-02-10 13:05:25+00:00,2026,2,86,,
l57xKN6OBhY,Kubernetes Course – Certified Kubernetes Administrator Exam Preparation (2026 Update),2026-02-10 11:01:25+00:00,2026,2,85,,
2yF62QE59G8,AI tools aren't necessarily going to replace you - they're going to move you up the value chain,2026-02-09 13:17:45+00:00,2026,2,95,,
MtQhSMoHXMY,Why Vite needs a new bundler - from Evan You himself,2026-02-08 13:43:31+00:00,2026,2,52,,
56Hv0LDjtWM,Why humans are still necessary in the technical writing and research process,2026-02-07 13:32:19+00:00,2026,2,76,,
WbZDt-ubm48,"""This is what people mean by focus, ok!"" - Abbey, after being diagnosed with ADHD at 28",2026-02-06 13:18:26+00:00,2026,2,87,,
GAZkxw6DJJE,Tips from a 20-year developer veteran turned consultancy founder – Tapas Adhikary [Podcast #206],2026-02-06 11:00:27+00:00,2026,2,96,,
gmuTjeQUbTM,Harvard CS50 (2026) – Full Computer Science University Course,2026-02-05 13:45:14+00:00,2026,2,61,,
b_6KoSdgHiA,How much is a little loading spinner costing your website? It's worth thinking about...,2026-02-05 12:52:24+00:00,2026,2,87,,
Sk72ZCDAEsk,How a colleague helped Santosh realize he was performing at a higher level at work than his title,2026-02-04 13:29:22+00:00,2026,2,97,,
n1sfrc-RjyM,OpenClaw Full Tutorial for Beginners – How to Set Up and Use OpenClaw (ClawdBot / MoltBot),2026-02-04 11:01:21+00:00,2026,2,90,,
aokdrllzkFQ,"To understand what AI can do, we have to first understand what it CAN'T do.",2026-02-03 13:05:34+00:00,2026,2,75,,
h3nn7MsCmsQ,Being a manager isn't for everyone...,2026-02-02 13:17:28+00:00,2026,2,37,,
PBx-e7yyk5M,Why a good pitch matters as much as (or sometimes more than) the product itself,2026-02-01 13:43:21+00:00,2026,2,79,,
CcQwCGUdRmw,How presenting a project to industry partners got Alison and Cindy invited to GitHub Universe,2026-01-31 13:32:22+00:00,2026,1,93,,
xMrOFhk6Rng,Getting into computer science thanks to a supportive teacher and skipping a favorite class,2026-01-30 13:18:23+00:00,2026,1,90,,
MdEexYakkHw,"How can you, as a dev, get the most out of AI tools?",2026-01-29 12:52:39+00:00,2026,1,52,,
5y9nVwPwX_o,Raise your hand if you've been through these or other adjustments when starting remote work...,2026-01-28 13:29:32+00:00,2026,1,94,,
26ls5lNiijk,Relational Database Design – Full Course,2026-01-27 14:32:56+00:00,2026,1,40,,
boH7_Ate4LM,"Remember your first hackathon? While it was probably scary, you probably learned a ton.",2026-01-27 13:05:26+00:00,2026,1,87,,
D5F8kp_azzw,Let's Build Pipeline Parallelism from Scratch – Tutorial,2026-01-26 17:35:28+00:00,2026,1,56,,
0aKV-JGtDMA,It's easy to get sucked into working too much - but the costs become pretty clear pretty quickly.,2026-01-26 13:17:20+00:00,2026,1,97,,
ll1mpTJ4qBU,Why debugging vibe-coded projects is hard - and what to do instead,2026-01-25 13:43:36+00:00,2026,1,66,,
Y6JJgOqroAI,"Sure, grades matter in school - but on the job market, hands-on experience is more meaningful",2026-01-24 13:32:27+00:00,2026,1,93,,
4T3YlTSWa5s,How to stay curious as a dev in the AI hype era with Sumit Saha [Podcast #205],2026-01-23 14:30:03+00:00,2026,1,78,,
3GqiUg3Ree4,From not growing up with computers to senior engineer - thanks to Prince of Persia,2026-01-23 13:18:28+00:00,2026,1,82,,
I7_WXKhyGms,RAG & MCP Fundamentals – A Hands-On Crash Course,2026-01-22 14:27:46+00:00,2026,1,48,,
ojkbIKjRLIM,The challenges of turning a powerful braille learning prototype into real hardware,2026-01-22 12:52:23+00:00,2026,1,82,,
