video_id,title,publish_date
0XMdbWy2j1w,Can you guess what this is? Wrong answers only!,2026-03-09T12:17:22Z
ldkfMvE36FI,How to handle being thrown into an existing codebase and being expected to figure it out,2026-03-08T12:43:26Z
jie_039IekA,"Why you shouldn't chase people to get what you need from them - info, payment, etc.",2026-03-07T13:32:30Z
mrRfPVm9nAY,Learn the basics of Data Structures in 60 seconds with Beau Carnes.,2026-03-06T13:18:50Z
hP931079TMw,There are 2 kinds of devs. One of them is screwed. Justin Searls interview [Podcast #210],2026-03-06T11:01:15Z
tVskbekONlw,Learn MLOps with MLflow and Databricks – Full Course for Machine Learning Engineers,2026-03-05T14:21:18Z
OGRyln02De4,Sometimes breaking your code and figuring out how to fix it is the best way to understand it,2026-03-05T12:52:31Z
cw02dMpWStI,How to find good open source projects to contribute to - from Tapas Adhikary,2026-03-04T13:29:25Z
0WjfKQdfeMU,NVIDIA-Certified Associate AI Infrastructure and Operations (NCA AIIO) Free Study Course,2026-03-04T11:00:02Z
ZldNCx4AvEM,Learn the basics of Git in 60 seconds with Beau Carnes,2026-03-03T13:05:25Z
E7o_WdfKszU,There's so much to learn - so how do you focus to get you closer to your goals?,2026-03-02T13:17:28Z
IBTx5aGj-6U,Build Your Own Video Sharing App – Loom Clone with Next.js and Mux JavaScript Tutorial,2026-03-02T11:00:33Z
c1Op7YSTwhg,How do you monetize open source? Evan You shares his tips.,2026-03-01T13:43:25Z
Bc4blwgFF-o,Sometimes constraints in your learning translate into really focused action,2026-02-28T13:32:29Z
TcZFJrjxOYQ,Can a single semicolon break an entire app?,2026-02-27T13:18:26Z
s950xhRvqYQ,The ultimate dev skill is Integration Testing feat. Internet of Bugs [Podcast #209],2026-02-27T11:01:36Z
Yygu7TBWdPs,Easily Create E2E Tests with KaneAI,2026-02-26T19:46:12Z
_4uQI4ihGVU,Learn Kubernetes in 6 Hours – Full Course with Real-World Project,2026-02-26T13:58:14Z
o54etZM-DrY,Programming isn't always fun - but you can still find joy in the boring bits,2026-02-26T12:52:35Z
4RGkpzTJjfg,Contributing to open source has many benefits - but it doesn't guarantee you a job,2026-02-25T13:29:55Z
UsfpzxZNsPo,Python Essentials for AI Agents – Tutorial,2026-02-25T11:00:52Z
U6-RekkuORI,Closures in JavaScript explained with a simple backpack analogy,2026-02-24T13:05:28Z
bB5eA7vU9W8,Learn Notion – Full Course for Beginners,2026-02-24T11:00:57Z
Ai00MsNabaE,True or false: computers only understand 1s and 0s...?,2026-02-23T13:17:29Z
QMgIovzpYVw,"When you're working, work hard. And when you relax, relax hard.",2026-02-22T13:43:36Z
Tbqmz0ZP8q8,"Coding and chess are similar - they're both require deep thinking, patience, and creativity",2026-02-21T13:32:20Z
uJAUeXLXHrY,Learn Regex basics in 60 seconds from Beau Carnes,2026-02-20T13:18:30Z
kQqrMNviM9U,The three paths AI could take from here - Shawn Wang SWYX interview [Podcast #208],2026-02-20T11:01:18Z
BrBMM2gIQN8,Prepping for interviews? Here are some practical tips to help you out.,2026-02-19T12:52:33Z
fQbBPa0ADvs,Computer Networking Fundamentals Course,2026-02-18T15:00:57Z
