video_id,title,publish_date,transcript,error,year,month,title_length
u6b7Cix4zrQ,99% Python Developers don&#39;t know this - AI will change Python Development!,2025-03-14 09:50:49+00:00,"[Music] welcome back to this course so far we learned a lot of things in Python and in this section I want to teach you about what AI is when to use AI how to use AI what is the wrong way of using AI because I have seen a lot of developers using AI in a wrong way and I think you should avoid it and this mentorship session is I think very important for you so when to use AI let's talk about it whenever you want to work on a bigger application you will always be tempted with AI if you don't know what AI is there are a lot of tools in the market we'll explore them one by one you might already know about chat GPD you might know about different llms you might also know about open source llms many of you might have used it you haven't used it do not worry after this section you'll be able to use them to their full potential I'll teach you how so for the entirety of this course I did not talk about Ai and I also did not talk about llms and do you know the reason the reason for that is I wanted you to learn everything step by step there was a reason behind everything I did in this course and not using AI was a very conscious decision I did not use AI to teach you because I didn't wanted you to use AI during your learning one of the biggest mistakes students are making across the globe is that they are using AI while they are learning now you can use AI to learn but when you're using AI while learning and you are practicing your problems and then you are using AI to solve those problems you are not going to learn anything so use as minimum AI help in solving practice problems as possible you should be very very raw when you are learning especially your first programming language and if it is python I would say do not go for AI at the beginning so now let's talk about how to use AI once you are at a stage where you have practiced a lot of problems you now understand everything in Python You Now understand all the concepts object-oriented programming and whatnot everything is very very clear to you you have written say 100 practice programs now you are ready to use AI whenever you are working on a big application it's always recommended that you automate the repetitive boring task for example let us say you always find yourself writing functions like average of two numbers capitalizing a string or maybe you are writing a very special function which is getting rid of all the commas in a given string you can use AI for that so whenever you are working with a program or a big application you should definitely use AI to save your time but the problem with using a lot of AI is that people tend to lose control of their applications when they writing AI generated code and sometimes they don't realize that they are losing control of the application but most of the code written in the application is being controlled by Ai and when I say controlled by AI the code is AI generated and the senior developer who is taking control of that application who is managing everything doesn't know how a particular module is working so much so that he simply relies on AI and prompting that should not be the case with your application otherwise you'll come to a point where you'll not be able to debug your applications with that said we'll talk about about how to use AI what is the best way to use AI so I'll split this video into five strategies the number one strategy is divide and conquer you should not prompt your AI and say something like give me an e-commerce website AI can actually try its best to generate an e-commerce website and I'm not saying that it cannot do that but again your e-commerce website will have certain requirements AI doesn't know what kind of e-commerce website you want to build you can definitely tell all that using the the prompts but the problem is that if you take control of your code and you start building yourself start using the correct Frameworks let's say you want to use flask you should start by creating a flask app you should do everything step by step and then you should break down that entire problem of building an e-commerce website into smaller problems and those smaller chunks should be generated by AI that too if required this is really very important sometimes people get dependent on AI so much that they keep on giving prompts and they don't realize that they are actually wasting their time and also they are spoiling their application at the same time and AI cannot write very good code and the reason behind that is that a lot of code written by humans that AI is uh trained on is not the best code okay so if AI is trained on bad data it is going to generate bad data so number one advice that I want to give you on using AI is divide and conquer and for the repetitive chunks for the obvious chunks of your code for example you want to write a function that should process a string a certain way and return it in a certain way you can always prompt it and in most of the cases you can always test that code and also you can use that code because you are not basically asking the AI to write the entire application now people whenever they think about AI they tend to use chat GPT or Google Gemini and sometimes um they use other tools there are a lot of tools in the market but the thing is sometimes you have the correct tool in the market made specifically for a given task for example if you want to write code you can download GitHub cop pilot and it has a free tier and we'll talk about GitHub co-pilot um later in the section but let me tell you that GitHub co-pilot has a free tier and it's an AI code editor for everyone you can get started for free and if you are aggressively using it then definitely you'll have to pay but again the thing is that its plans and pricing are very good because for free you can start using it and you can install the vs code uh extension and then you can get 2,000 completions we'll come to this we'll install it later in this section but again if you have a tool specific to a certain task you should not prompt chat gbt and try to use that tool and if that tool doesn't work for you then you can maybe go for chat gbt sometimes we have specific tool for specific tasks let us say there is an AI just for converting designs to code you should use that AI instead of going to chat GPT and pasting images into chat GPT if that makes sense now strategy three is going to be be very very specific with your prompts take some time out and write good prompts instead of saying something like write an e-commerce app I'll say write an e-commerce app for my mobile store and I want to sell mobile phones laptops and say some other electronic devices you can always type specific things you want to sell specific Pages you want to build and specific requirements that your website should follow so if you put your prompts very correctly frame them very nicely specific to the requirements you are going to get better results humans have become very very lazy these days and I would like to attribute that to AI that you have become very very lazy and because of this laziness they tend to type very small prompt and they expect AI to do everything but that's not the case the better the prompt the better the result if you refine your prompts and if you create your prompt templates I'll tell you what is a prompt template but before that let me tell you that if you specifically type a given prompt for a given task it will always perform better let's say you want to debug your python code you can create a prompt template and save it in a txt file and whenever you want to debug your code you can have that prompt template and use that prompt template and use that prompt in chat GPT by making those tweaks in the same prompt now how does it help let us say you want to work on an application which is an e-commerce website written using flask and python you can type down the specific details of your application and then at the end ask the question about that application so your prompt will start something like hey I want to build an application using flask I'm using FL SQL Alchemy I'm also using let's say a class which does this it has these these function fun but I want to add some more functions I want to solve this specific problem how do I do it in Python okay or generate code for doing this in Python and then you can change the last line for doing something else so you have that template saved already and using the template you can always create new prompts and save time so you don't have to write or spend time writing longer prompts all the time because you have your application specific prompts inside a txt file and this really helps me when I build larger applications always remember that sometimes a good prompt can make a huge difference strategy number four is do not rely on AI too much use your human brain to solve or prepare solution of a problem and then use AI to implement the game plan always use AI as an assistant and do not replace thinking with AI I repeat think using your own brain and do not use AI for creativity or thinking because that is something AI cannot do strategy number five is that humans tend to use AI to solve their problems until unless they writing code for production they don't use AI whenever they are practicing they don't use AI but there is a better way to use AI while you are learning you can generate practice problems using Ai and then take control of the problem start solving it give your answer to chart GPD or whatever AI you are using and then that AI will tell you what you did right what you did wrong you can ask it how could I have done better it will tell you you could have done better by doing this so all these things are going to help you a lot if you use AI for learning because the B basic concepts can be practiced using AI you don't need a practice book you don't need a set of practice problems you can simply generate practice problems using Ai and then you can give solution to those problems to Ai and then you can ask AI how you did and AI will tell you which are the specific areas you need to focus on and always work on training your mind human mind do not try to memorize things always train your human mind and you'll train your human mind only after making a lot of mistakes solving problem the wrong way yes you heard that right solving problem the wrong way is going to teach you a lot of things once you make mistakes you'll realize that yeah I could have done it better and then you will learn how you can do tasks in the optimal fashion always remember that at the end of the day you will become a better developer if you sharpen your human mind so always focus on sharpening your human mind do not memorize things and do not rely on AI too much I hope that was helpful and in the next video we are going to look into some AI tools and we'll see how we can use them and leverage them for writing code see you in the next video",,,,
oAYuGx8BINI,FREE! FREE! FREE!!!,2024-12-19 14:09:35+00:00,"GitHub copilot is free Microsoft has recently announced that GitHub copilot is now available free of cost for all the developers they announced this through their recent blog and now giup copilot is absolutely free to try if you go to their plan and pricing page you'll see that there is a free tier available but the catch is that you get only up to 50 interactions per month for free and up to 2,000 real-time code completions free of cost if you want to go beyond this limit you can always upgrade to Pro business or Enterprise in my opinion this is one of the best moves by Microsoft out because a lot of people always wanted to try out GitHub copilot but they never did because of budget constraints so go ahead download GitHub copilot and try it out because it's now free",,,,
u0BA_nM1hSc,What Sets Google Workspace Apart - Google Workspace Summit 2024,2024-12-17 16:14:49+00:00,,Not Available,,,
2R4AIuAw9YU,The Best Network monitoring and device blocking app for PC and mobile | Trying the Fing Wifi app,2024-10-20 05:30:01+00:00,guys I have always desired to have an app in my phone which can be used to control all the Wi-Fi networks that I have at home how cool would it be if I can control my devices from my app connected to my Wi-Fi network well fing is a network monitoring solution which helps you facilitate that and in this video we are going to explore it fing has around 22 million registered users 15 million plus scans and 4.5 plus trust pilot rating it is highly trusted for securing and managing network connections later in the video we'll see how we can install fing agent on this Rasberry Pi so that we can use the local apis that fing provides this video is going to be very fun I'm very excited to explore thinging let's move on to our computer screen and let's get started so as you can see I'm inside my computer screen and we are going to install fing so the very first thing that I'm going to do here is installing fing desktop now what is fing desktop it's an app that we can install on a machine so that we can have access to all the Wi-Fi data now click on login and we are going to create a new account on fing and after we create a new account on fing we are going to click here to download fing desktop and while this fing desktop is downloading we are going to talk about why we need fing and what exactly it is so as we already talked about it's a network monitoring solution and the top features of thinging comprises of these features number one it helps you get your device inventory which means that you have access to the list of devices that are connected to your network secondly gives you control over your network by letting you blocking the devices that you want so you have list of all the devices and if you want to block a particular device you can do that using thinging third thing is that you can track Network events like when was the outage it provides real-time notification on network events like outages new devices vulnerability and timeline for easy tracking you can limit anybody's internet connection you can detect hidden cameras you can track user activity you can use tools like Ping and DNS lookup to troubleshoot your networking issues and you can check your network speed and compar with the speed that your ISP promised you to give so talking about F's products there are primarily three products fing has number one is F's phone app which can be an IOS app or an Android app number two is fing desktop app which can be a desktop app and it is also available for Mac number three is an interesting one and it is fing agent for Rasberry Pi you can install fing on your Rasberry Pi and then you can use the local apis that thinging provides you can do pretty much everything that you can do on desktop and phone app by using fing on your Rasberry Pi we are going to see how to install fing on a Rasberry Pi very soon but before that let's explore fing app on our machine so fing has been downloaded on a computer now I'll open this app and I'll install thinging on my machine and I'm waiting for it to install and once it is installed I'm going to open it and let's proceed with the authentication it is asking me to authenticate let's click here and let's authenticate and boom I am inside my account now the moment I click on overview it has detected that I am inside my Rog strix g713 machine it is also detected that I'm using a tender router basically this is the name of my Wi-Fi network I can verify the speed I can test speed and it will check for network speed download speed as well as upload speed so my download speed is 91.6 and my upload speed is 92 93.1 or something amazing it it is also telling me about my ISP now these are the list of devices that are connected to my Wi-Fi network it has detected a router it has detected my laptop now these are some of the devices that I personally use and it is able to detect all these devices secondly I can always come to this security Tab and get an KN of how secure my network is it will show me all the warnings it will show me all the tests that passed and the test that needs attention now I can also use F's apis which are basically local apis by going to the URL but before that you'll have to click here you'll have to come to preferences and then you'll have to click on local API and you'll have to enable local apis as you can see fing is providing me the list of local API URLs I can always click here and once I click here you can see that it is showing me which device was connected when and whether it is currently connected or not so if it is currently connected the state will show as up otherwise the state will show as down you can see these are some of the devices which were previously connected but these are not connected as of now one of the devices being my Raspberry Pi now fing API allow developers and businesses to automate Network management the API provides access to device information event logs and network data we can use these Network apis like any other API and we can integrate it with a custom applications and use these apis like any other apis one of the best parts is that it also has an option to download the Open API specification so that we can get more information about our API and we can use all these apis effectively so it provides me two end points one is for seeing all the devices and the other for seeing all the people that are connected to the network now you can always set an API key to make your Fang API access secure and you can disallow some of the people that are on the same network and you don't want them to use the fing apis so we can always have an API key and you can pass your API key like this now obviously you can keep this API key more secure by making it longer but this is an example and in most of the cases you want your API key to be very small because you are the only person or you or somebody you trust are only the person that are using your API especially when you are on a home network now it is very easy to install thinging on your Rasberry P installing thing on a Raspberry Pi makes it very easy for us to access local apis plus Raspberry Pi is something which is always running so it helps us keep the fing app always alive now if you're looking for a guide on how to install fing agent on rber pie you can check out this guide which I'm going to link in the description this is the official guide that is going to teach you everything that you need to know about installing fing agent on your Raspberry Pi I am personally using this fing agent on my Raspberry Pi and it works like a charm now at the right side of my screen is the guide that is provided by fing and let me put the terminal at the left hand side and as you can see that I'm copying the commands that are present in this guide the first command is AP update and the second command is APD upgrade I'm going to give you the link of this guide so you can also follow along basically I'm simply following this guide and I'm copy pting the command the first command is AP install snapd I'm waiting for it to finish and then I'm going to copy Cudo snap install core and one by one I'll be running these commands I'm using OBS to record this screen on a Raspberry Pi so yeah it's little bit laggy in comparison to my regular videos but I think that should not be a problem I'm waiting for this command to finish and then I'll be pasting the next command we can use snap to install the fing agent which is why we are installing snap on a Raspberry Pi when I came across this guide I followed this and it pretty much worked so now I'm copy pasting this command to make sure that snapd is enabled and running I'm waiting for this command to finish and now the next step is to install the fing agent so let's copy this fing agent command and let's paste it and as you can see that snap is downloading fing agent and it will be installing it on my Raspberry Pi now why are we installing fing agent let us understand the very first thing that we are trying to do is installing fing agent on a Raspberry Pi and we are connecting our Raspberry Pi to our Wi-Fi now our fing app is running on the same same Wi-Fi our phone is connected to the same Wi-Fi which is why what happens is that this thinging agent can be directed by the fing app on our phone now once we configure this fing agent this fing agent can take over and it can basically start monitoring our Network and we will get realtime updates in all our devices even if they are off so our app will get all the updates even if you're not at home your app will get all the updates even if you turn off your laptops you can have all the monitoring data sent to you through the fing app because your fing agent is running your Raspberry Pi is running the fing agent which is taking care of all these things the fing agent takes care of monitoring the network and sending all the data to your phone once it is configured one of the things that I really liked about this sing agent is that it sends real time emails also you don't have to open the thinging app wherever you are if you have access to your emails you can get emails like this and you have all all the monitoring updates of your Wi-Fi at home or work so let's see how we can configure this fing agent now as you can see I'm inside of my phone screen and it says fing agent has been detected now I am the one who has installed this fing agent so I'll acknowledge it and now I'm going to click on this location button and it basically takes my address I'm going to click on home to make sure that this is marked correctly and then I'll click on done now as you can see it is showing me all my devices is it has detected all the devices that I have plus it has detected this Rasberry Pi where I've installed this ping agent now that we have understood fing apis it's time to build an app so I'm going to use this local API and I'm going to build an app with this local API as you can see I'm also opening chat gbt just in case and I'm creating a main.py which is going to be our flas cap but before that we'll have to install flask so let's pull up our terminal and I'm going to type pip install flask and flask will get installed make sure that you have python installed already and now I'm going to create a static folder and a templates folder so that I can create my static files and my template now let's start coding this app I'm going to import flask and I'm going to create a basic flas cap in order to create this flas cap and also I'm going to create a dashboard. HTML which will render a dashboard and as you can see that I've created a dashboard. HTML here so let's start coding a app I'm going to say from flask import flask and then we are going to import render template and jsonify so let's do that and also we are going to say app is equal to flask and we are going to say underscore uncore name and that is going to create our app now we are going to create some endpoint I'm going to create two endpoints here but before that we'll also import request and we we are going to Simply say request.get and we are going to put the URL here this is the local API make sure that this is local API and is not going to work on somebody else's device and let's say R is equal to request.get and after I say R is equal to request. get I can always do r. Json but I can always go to the documentation and verify this so you can always go to request documentation I'm sure it's r. Json but again you can go to the documentation and you can always verify r Json is going to give you the pared dictionary with all the data so say network data is equal to r. Json and we have all the network data here now what we are going to do is create two endpoints the first one is going to be a slash and this will be our main dashboard so let's say def dashboard we are creating a function and now we are going to return render template I'll return my dashboard template and I'll pass in the network data devices so say devices is equal to network data devices so there is a key called devices if you look at the API response we are using that data and I'm going to populate my dashboard. HTML using some basic HTML I have some tables here and we are using Ginger templating and I'll also populate style. CSS this is very basic table and CSS Styles now let's say app. run so that we can test our app and we'll do debug is equal to true so that the debug is on the flash cap has been started now we'll control click here and let's see if it works control click to open the app and wow it is showing me all the devices the network devices dashboard is here you can see the IP address the state the name of the router and device and you can also see that when was it first seen and when was it changed which is amazing and I am also adding another Endo here which is going to show me the devices and it is going to be an API it is going to be a Json resp response now the thing is you can always change this Json response I am putting the Json response as it is but the idea of this route is that you can always change the network data and you can always change the way thing is showing the apis through your flash cap so basically your flas cap is showing this Json data Let's test it out/ devices and you can see that we have created our custom API so if you want to show some additional fields or maybe you want to remove some Fields you can always do processing here and then you are going to get the results in/ API SL devices how cool is that so yeah that was all about this video if you want to access the apis and if you want to get more features from fing you can always upgrade to starter plan or Premium plan you can always sign up and use the free plan and you get up to three scans per day internet speed test and other features but if you are somebody who wants to get more control over your network you can always go to starter or Premier plan and you can get unlimited automated scans 7 Days of event timeline and automated Security checks you can also get hidden camera detector if this is something that you want all for just $24.99 per year which in my opinion is a great pricing if you are looking for network security you are just paying $25 a year and same goes for Premier if you are a business user and you want continuous monitoring and you want to use thing very aggressively you can always switch to Premium plan and that should get the job done for you so some of the real life use cases of fing are that it protects you from intrusions it helps you detect hidden cameras in public networks and rentals like lbnb it can also help you set internet downtime for your personal well-being and it can also help you trouble shoot your network issues with Smart Tools so I'll put the link to thinging in the description and you can check it out download it try the free plan for sure and if you like it you can always upgrade so I hope this video was helpful thank you so much guys for watching this video and I will see you next time,,,,
-DWYKXE0qy0,How to Scrape Amazon Using AI (with least manual coding) ,2024-10-09 12:30:00+00:00,oxps has recently launched oxy copilot which is an AI feature to reduce manual coding while scraping the web whenever we scrape a website most our time is spent understanding the structure of that website we have to work hard to find the target element so that we can get the text that we need and then we have to work on consistency of the same selector in different pages most of our time while web scrapping is spent on this the rest of the things are relatively very easy in this video I'll show you how to leverage AI to scrape any website using oxyco we'll see step by step how all these things are done let's move on to our computer screen and let's get started so guys the first thing that I want to do here is sign up on oxy laabs and then we are going to explore the oxy laap co-pilot so as you can see I'm inside my computer screen and I'm going to write oxy laabs in the search bar so let's click on this oxylabs search result and let's sign up on the oxyb website if you haven't signed up you need to sign up first but I have already signed up so I'm going to log to my account so I'm going to log in here and I'm going to all the cookies and then I'm going to start with Google Now this is actually huge because as a person who scrapes the web I understand how difficult of a task it is to scrape different websites which keeps on changing now if AI can get the job done that too accurately I don't think anything can be better than that so now I'll come here to web scripper API and I'm going to start the free trial let me read the terms and conditions and let's now click on start free trial now as you can see the free trial is activated which means we are ready to start scraping the web now it is asking me to create an API user so let me create an API user very quickly now we need this API user so that we can authenticate whenever we are using oxy laabs copilot so let me write Harry here and let me choose a strong password it is saying at least one uppercase character at least one lowercase characters okay so we need at least 12 character and also we can have underscore and I'm going to copy this and let's create our API user so my username is Harry and the password is the one that I've copied to my clipboard now it is asking me to test this setup by copy based this command in the terminal I'm going to fire git patch on my machine and then we are going to test this so let's go so let's copy this and let's paste this on G bash and as you can see the scraping has been started basically we have just tested this web scraping setup you can see this eo. third generation 16 million color something we are seeing all the products which means Amazon is getting script correctly awesome that's a good news now this is not how I want to use it I want to actually run it as a program and I want to be able to scale the setup so that I can scrape the web at scale so how do you use this in a program I'm going to show you in a bit but before that let's go to this scraper api's playground so that we can play around with this API now scraper API playground is loading now it even has code for python PHP C goang Java nodejs Json you can build the scraper and then you can copy paste the code from here which makes it very easy to use now I'm going to select Amazon here and let me open Amazon in Incognito tab so that it it is not biased and we start from a clean slate because I'm already logged into my Amazon account now let's understand the use case whenever there is a sale like flip cart's big billion day sale or Amazon's great Indian festival sale we want to actually find the laptops that we can buy and for that we go to the web we search for the laptops we short list but how about we have the data in the CSV if we can somehow get this data in CSV I think it's going to make the task a whole lot easier because we can simply look at that CSV and after looking at that CSV we can make a decision of buying a particular laptop so let's go to Amazon I'm going to select search in the scraper section and now it is asking me for a query so I'll enter search query which is laptops now there are some additional parameters like parsing do you want to parse the data do you want a parsel if you don't want the parsel you can get rid of this now I'm going to select in here because I'm in India and then location should be your PIN code and now if you leave your local as triple dot it means that you want your local to be detected autom automatically now this is the user agent which means how do you want your request to go do you want to make it as a desktop Chrome or phone Chrome or Firefox it's up to you you can actually control who your client is now there is an option of JavaScript rendering I'm going to enable it and let me explain what JavaScript rendering is whenever you go to a website it first loads the HTML and after that the JavaScript executes on that page which might change that page and might not change the page now if you enable JavaScript rendering your page will change because of that JavaScript and if you want to consider that change while scraping the web you can enable JavaScript rendering and if not you can disable the JavaScript rendering now there is no rule of thumb but you can try both of these methods when you are scraping a random website and whichever works you can adopt it now we can also give start page we can give the number of pages so it will take care of all the pages it will select all the pages and give me the data from all of these Pages basically you're scraping pages in bulk now there is something called category ID in Amazon which you can use this ID is the category ID the ID that you are seeing in the URL bar now you can copy this ID and you can paste this ID into your oxyb scraper and that is going to consider only the products from this category ID now you can also have merchant ID and you can get results only from a particular seller now these are some of the additional parameters that you can use with this scraper which makes this scraper really very custom now let's click on submit request I'm really very excited and let's see if this is able to scrape the results for me now it is asking me to change the pages to a positive integer my bad let me change this to a positive integer one and two now this is going to take some time and that doesn't matter let me tell you why that doesn't matter whenever we are scraping a website we usually do it as a Cron job on a server now we're using cron jobs on a server we don't care how much time it takes because most of the time it is a nightly job now if you do parsing false you're going to get the HTML now I'll enable this parsing as true so that I get only the passed content but in that case you are going to see the HTML now you might be thinking why would we we need the entire HTML and we would need the entire HTML because at times we want to save the HTML page so that we can scrape more parameters from the page later so let us say you are extracting prize title and reviews and later you thought I also want to extract how many were bought last month you can always do that because you have the raw HTML now the most impressive thing here is that it has given me all the results it has given me the URL it has given me the Asin Asin is basically the unique code for a given product on Amazon it has given me sales volume it is given me currency is prime or not which means that I can analyze this data even if I'm an Amazon Seller as a seller I can analyze this data and I can draw insights on which products to keep in inventory which products to sell because this is giving me sale estimate also now this was just one website oxy apps give you a lot of different options to scrape other website like Bing Google and other e-commerce websites now you can extract any other website using AI as well you just give the prompt and oxy copilot do the rest of the things now let me show you this app parsing instructions feature you can build your own parer using AI now there are four methods to build a paror either you can create using AI or you can use your template import your code or you can start from scratch now I'm going to create with AI because this is going to be the simplest way to create the passer so let's click on create using Ai and I'm going to go to the Amazon search page I'm going to write laptops let me enter the search page URL here now I want to give a prompt so I'll say I want to extract name price and star readings so I need a very simple parser and I'm going to enable JavaScript rendering because I want JavaScript to be executed whenever my page loads let's click on generate instructions and this is going to take some time it is basically generating the parser now as you can see it has generated the parsing instructions for me it basically generates a parsing schema which is capable of extracting this data out you can see we have name price tar readings amazing now these are the passing instructions which contains the data to get that pass data these instructions are basically X paath and Rex which oyap will use to get the pass data so let's save the instructions and now let's click on submit request and you can see that I have all the results in the same format as I've specified in the custom parser which is amazing we needed only the name star readings and price and we got those some of the fields are automatically added by oxyb scop Pilot like created at updated at which is fine and it also adds The Source URL which makes a lot of sense now let's explore this oxy copilot which is build your scraper with AI nice let's try this out so I'll put the URL to scrape and I'll also put the requirements let me go flip cart's website and let me grab a product from there let me search for iPhone 15 Pro Max let's copy the URL and let's take this URL and past it here and I'll say I want to scrape price title ratings and reviews and let's click on generate scraper now it is asking me to add the parsing instructions I'll continue without passing We'll add this later so I'll delete the previous parser and I'm going to build my own parser so let me click on create with AI I'll replace the Amazon URL with Flipkart URL and I'm going to change this prompt and I'll say I want to extract try title prize and star ratings let's click on generate instructions the JavaScript rendering is true and it is generating so let's wait for it to generate and as you can see it has successfully fetched the pricee title ratings amazing so let's save the instructions and let's submit the request and usually it was not giving me the correct results and after some time I realized that disabling the JavaScript rendering did the task for me so I disabled the JavaScript rendering and now I'm getting the output it is giving me all the information from the page so I hope that you were able to understand understand how to scrape the web using Ai and I hope that you like this oxyco pilot AI I'll put all the relevant information in the description of this video and in the pin comments so go ahead sign up to oxylabs try this out and start free trial it's absolutely free and definitely you're going to love it if you are somebody who scrap the web very often this is going to be very useful for you try to play around with python code JavaScript code if you are a go developer you can play around with go code as well thank you so much guys for watching this video and I will see you next time,,,,
