Model,Field,Metric,Top-1 Recall,Top-3 Recall,Top-5 Recall,Avg Rank
all-MiniLM-L6-v2,title,Cosine,0.964,0.976,0.976,2.55
all-MiniLM-L6-v2,transcript,Cosine,0.855,0.964,0.976,2.83
all-MiniLM-L6-v2,title,DotProduct,0.964,0.976,0.976,2.55
all-MiniLM-L6-v2,transcript,DotProduct,0.855,0.964,0.976,2.83
all-MiniLM-L6-v2,title,Euclidean,0.964,0.976,0.976,2.55
all-MiniLM-L6-v2,transcript,Euclidean,0.855,0.964,0.976,2.83
all-MiniLM-L6-v2,title,Manhattan,0.964,0.976,0.976,2.59
all-MiniLM-L6-v2,transcript,Manhattan,0.843,0.976,0.976,2.93
all-MiniLM-L6-v2,title,Chebyshev,0.952,0.964,0.964,2.87
all-MiniLM-L6-v2,transcript,Chebyshev,0.614,0.783,0.843,6.55
all-mpnet-base-v2,title,Cosine,0.976,0.988,0.988,2.49
all-mpnet-base-v2,transcript,Cosine,0.819,0.952,0.952,3.43
all-mpnet-base-v2,title,DotProduct,0.976,0.988,0.988,2.49
all-mpnet-base-v2,transcript,DotProduct,0.819,0.952,0.952,3.43
all-mpnet-base-v2,title,Euclidean,0.976,0.988,0.988,2.49
all-mpnet-base-v2,transcript,Euclidean,0.819,0.952,0.952,3.43
all-mpnet-base-v2,title,Manhattan,0.976,0.988,0.988,2.49
all-mpnet-base-v2,transcript,Manhattan,0.807,0.952,0.964,3.6
all-mpnet-base-v2,title,Chebyshev,0.952,0.988,0.988,2.52
all-mpnet-base-v2,transcript,Chebyshev,0.711,0.807,0.855,6.49
multi-qa-MiniLM-L6-cos-v1,title,Cosine,0.976,0.976,0.976,2.65
multi-qa-MiniLM-L6-cos-v1,transcript,Cosine,0.819,0.964,0.976,2.77
multi-qa-MiniLM-L6-cos-v1,title,DotProduct,0.976,0.976,0.976,2.65
multi-qa-MiniLM-L6-cos-v1,transcript,DotProduct,0.819,0.964,0.976,2.77
multi-qa-MiniLM-L6-cos-v1,title,Euclidean,0.976,0.976,0.976,2.65
multi-qa-MiniLM-L6-cos-v1,transcript,Euclidean,0.819,0.964,0.976,2.77
multi-qa-MiniLM-L6-cos-v1,title,Manhattan,0.976,0.976,0.976,2.71
multi-qa-MiniLM-L6-cos-v1,transcript,Manhattan,0.807,0.952,0.976,2.82
multi-qa-MiniLM-L6-cos-v1,title,Chebyshev,0.94,0.964,0.964,2.78
multi-qa-MiniLM-L6-cos-v1,transcript,Chebyshev,0.651,0.759,0.807,7.83
