Query,Rank,Video,Distance
what are programming fundamentals,1,66hDgWottdA,0.1385
what are programming fundamentals,2,jaDi29eRYps,0.1537
what are programming fundamentals,3,hM2T45qbIPI,0.1602
what are programming fundamentals,4,Fi8vnYgMiHA,0.1615
what are programming fundamentals,5,UsfpzxZNsPo,0.1634
how to start learning programming,1,UsfpzxZNsPo,0.135
how to start learning programming,2,ebarbEsoHzg,0.139
how to start learning programming,3,jaDi29eRYps,0.1416
how to start learning programming,4,g_3IKHG-rfA,0.1468
how to start learning programming,5,66hDgWottdA,0.1471
beginner coding concepts explained,1,cjam-BWAaL8,0.1374
beginner coding concepts explained,2,cfOI7PBhkWk,0.1418
beginner coding concepts explained,3,DosHnyq78xY,0.1432
beginner coding concepts explained,4,LzMnsfqjzkA,0.1446
beginner coding concepts explained,5,626BcUO84og,0.1446
basics of software development,1,ZldNCx4AvEM,0.1386
basics of software development,2,cjam-BWAaL8,0.1465
basics of software development,3,vc5T3VmCar0,0.1493
basics of software development,4,LsY7U2Muau8,0.1614
basics of software development,5,2Kw3e-1vbBQ,0.1616
introduction to programming logic,1,n1sfrc-RjyM,0.1588
introduction to programming logic,2,EO8QoyRSVaw,0.1595
introduction to programming logic,3,suuDVhYXe5Y,0.162
introduction to programming logic,4,cjam-BWAaL8,0.1635
introduction to programming logic,5,WKIjkxxNH0c,0.1645
how computers execute code,1,IBTx5aGj-6U,0.1598
how computers execute code,2,davl7UFG-Ls,0.1618
how computers execute code,3,Fi8vnYgMiHA,0.1703
how computers execute code,4,MdEexYakkHw,0.1713
how computers execute code,5,UtV8MfnuIEg,0.1735
difference between compiled and interpreted languages,1,U6-RekkuORI,0.1675
difference between compiled and interpreted languages,2,912L9KmzSLE,0.177
difference between compiled and interpreted languages,3,Fi8vnYgMiHA,0.1808
difference between compiled and interpreted languages,4,uJAUeXLXHrY,0.1877
difference between compiled and interpreted languages,5,P6fLZFJsH7Y,0.192
how variables and loops work,1,davl7UFG-Ls,0.1514
how variables and loops work,2,KOutPbKc9UM,0.1683
how variables and loops work,3,kFEBs8wuhiU,0.1699
how variables and loops work,4,QCSKhLuGR5c,0.1759
how variables and loops work,5,LsY7U2Muau8,0.1785
programming basics for beginners,1,cjam-BWAaL8,0.1292
programming basics for beginners,2,jaDi29eRYps,0.1423
programming basics for beginners,3,UsfpzxZNsPo,0.1437
programming basics for beginners,4,EO8QoyRSVaw,0.144
programming basics for beginners,5,GAZkxw6DJJE,0.1444
core concepts every programmer should know,1,I7_WXKhyGms,0.1347
core concepts every programmer should know,2,xwI5OBEnsZU,0.149
core concepts every programmer should know,3,mvleESOUTRw,0.1537
core concepts every programmer should know,4,tPeyD3ELDHw,0.1554
core concepts every programmer should know,5,9HOpanT0GRs,0.1576
what are data structures in programming,1,g_3IKHG-rfA,0.1504
what are data structures in programming,2,GAZkxw6DJJE,0.1543
what are data structures in programming,3,mrRfPVm9nAY,0.1557
what are data structures in programming,4,WXk7yDqsKxs,0.1657
what are data structures in programming,5,Fi8vnYgMiHA,0.1683
explain arrays and linked lists,1,mrRfPVm9nAY,0.1499
explain arrays and linked lists,2,nbsz6muQRT4,0.1659
explain arrays and linked lists,3,kFEBs8wuhiU,0.1688
explain arrays and linked lists,4,ja4OAzPLuM8,0.1737
explain arrays and linked lists,5,uJAUeXLXHrY,0.1739
introduction to stacks and queues,1,UuknxVdqzb4,0.1616
introduction to stacks and queues,2,MtQhSMoHXMY,0.1677
introduction to stacks and queues,3,cfOI7PBhkWk,0.1718
introduction to stacks and queues,4,H-oCV5brtU4,0.1722
introduction to stacks and queues,5,bB5eA7vU9W8,0.175
how hash tables work,1,mrRfPVm9nAY,0.1682
how hash tables work,2,davl7UFG-Ls,0.1688
how hash tables work,3,G9JxuWk7BDA,0.1693
how hash tables work,4,u1T8yyEEKWY,0.1764
how hash tables work,5,hM2T45qbIPI,0.1787
time complexity explained,1,UtV8MfnuIEg,0.17
time complexity explained,2,davl7UFG-Ls,0.1736
time complexity explained,3,J7sQe2n0z6Q,0.1755
time complexity explained,4,mrRfPVm9nAY,0.1768
time complexity explained,5,fQ51cM44o7I,0.1801
big o notation tutorial,1,URJBQ3b9n6Y,0.1601
big o notation tutorial,2,iMLGy2wEE_g,0.1687
