Query,Rank,Video,Score
what are programming fundamentals,1,gmuTjeQUbTM,0.4573
what are programming fundamentals,2,cjam-BWAaL8,0.4546
what are programming fundamentals,3,GAZkxw6DJJE,0.4498
what are programming fundamentals,4,66hDgWottdA,0.4356
what are programming fundamentals,5,LsY7U2Muau8,0.4311
how to start learning programming,1,cjam-BWAaL8,0.6099
how to start learning programming,2,GAZkxw6DJJE,0.5607
how to start learning programming,3,jaDi29eRYps,0.5448
how to start learning programming,4,LzMnsfqjzkA,0.5415
how to start learning programming,5,g_3IKHG-rfA,0.534
beginner coding concepts explained,1,GAZkxw6DJJE,0.539
beginner coding concepts explained,2,cjam-BWAaL8,0.5257
beginner coding concepts explained,3,hM2T45qbIPI,0.4843
beginner coding concepts explained,4,cfOI7PBhkWk,0.484
beginner coding concepts explained,5,pdleuy5lljY,0.463
basics of software development,1,626BcUO84og,0.5326
basics of software development,2,cjam-BWAaL8,0.5017
basics of software development,3,I7_WXKhyGms,0.4597
basics of software development,4,GAZkxw6DJJE,0.4501
basics of software development,5,yguDjZcUpH8,0.4426
introduction to programming logic,1,gmuTjeQUbTM,0.4115
introduction to programming logic,2,LsY7U2Muau8,0.3985
introduction to programming logic,3,cjam-BWAaL8,0.3773
introduction to programming logic,4,WXk7yDqsKxs,0.3772
introduction to programming logic,5,GAZkxw6DJJE,0.3686
how computers execute code,1,Ai00MsNabaE,0.4468
how computers execute code,2,LsY7U2Muau8,0.4093
how computers execute code,3,TcZFJrjxOYQ,0.3256
how computers execute code,4,Vs4hQsDpxww,0.3058
how computers execute code,5,Fi8vnYgMiHA,0.2961
difference between compiled and interpreted languages,1,ikXDYsdg15c,0.3069
difference between compiled and interpreted languages,2,Fi8vnYgMiHA,0.2356
difference between compiled and interpreted languages,3,iMLGy2wEE_g,0.2259
difference between compiled and interpreted languages,4,HEGrkgpe7-Y,0.2172
difference between compiled and interpreted languages,5,KUbbb0T1YZ8,0.211
how variables and loops work,1,URJBQ3b9n6Y,0.4164
how variables and loops work,2,U6-RekkuORI,0.4055
how variables and loops work,3,davl7UFG-Ls,0.4
how variables and loops work,4,kFEBs8wuhiU,0.3782
how variables and loops work,5,pdleuy5lljY,0.3648
programming basics for beginners,1,cjam-BWAaL8,0.6211
programming basics for beginners,2,GAZkxw6DJJE,0.5845
programming basics for beginners,3,g_3IKHG-rfA,0.5532
programming basics for beginners,4,hM2T45qbIPI,0.5327
programming basics for beginners,5,cfOI7PBhkWk,0.5325
core concepts every programmer should know,1,gmuTjeQUbTM,0.4413
core concepts every programmer should know,2,LsY7U2Muau8,0.4376
core concepts every programmer should know,3,I7_WXKhyGms,0.431
core concepts every programmer should know,4,bB5eA7vU9W8,0.4227
core concepts every programmer should know,5,Fi8vnYgMiHA,0.4094
what are data structures in programming,1,mrRfPVm9nAY,0.6782
what are data structures in programming,2,g_3IKHG-rfA,0.4486
what are data structures in programming,3,26ls5lNiijk,0.4229
what are data structures in programming,4,WXk7yDqsKxs,0.3855
what are data structures in programming,5,GAZkxw6DJJE,0.3725
explain arrays and linked lists,1,mrRfPVm9nAY,0.4508
explain arrays and linked lists,2,HwFw1abJkUs,0.3759
explain arrays and linked lists,3,QgZoz4xFfLE,0.3434
explain arrays and linked lists,4,kFEBs8wuhiU,0.332
explain arrays and linked lists,5,ry_mcAPVTOc,0.3266
introduction to stacks and queues,1,mrRfPVm9nAY,0.3415
introduction to stacks and queues,2,DosHnyq78xY,0.3283
introduction to stacks and queues,3,cfOI7PBhkWk,0.3264
introduction to stacks and queues,4,GAZkxw6DJJE,0.3232
introduction to stacks and queues,5,s950xhRvqYQ,0.3216
how hash tables work,1,mrRfPVm9nAY,0.4068
how hash tables work,2,26ls5lNiijk,0.3739
how hash tables work,3,u1T8yyEEKWY,0.3206
how hash tables work,4,kb_scuDUHls,0.3062
how hash tables work,5,davl7UFG-Ls,0.2992
time complexity explained,1,Tbqmz0ZP8q8,0.3366
time complexity explained,2,UtV8MfnuIEg,0.2823
time complexity explained,3,LsY7U2Muau8,0.2682
time complexity explained,4,_fGRKMQMl68,0.2441
time complexity explained,5,Fi8vnYgMiHA,0.2363
big o notation tutorial,1,cfOI7PBhkWk,0.2921
big o notation tutorial,2,GpxFF82I8Nk,0.2608
big o notation tutorial,3,GAZkxw6DJJE,0.2576
big o notation tutorial,4,ry_mcAPVTOc,0.2318
big o notation tutorial,5,URJBQ3b9n6Y,0.2251
algorithm optimization techniques,1,MZVyASCY8sQ,0.3328
algorithm optimization techniques,2,LsY7U2Muau8,0.3052
algorithm optimization techniques,3,66hDgWottdA,0.278
algorithm optimization techniques,4,xwI5OBEnsZU,0.2756
algorithm optimization techniques,5,GAZkxw6DJJE,0.2706
common data structures used in software engineering,1,mrRfPVm9nAY,0.5616
common data structures used in software engineering,2,26ls5lNiijk,0.4223
common data structures used in software engineering,3,xwI5OBEnsZU,0.351
common data structures used in software engineering,4,g_3IKHG-rfA,0.3352
common data structures used in software engineering,5,WXk7yDqsKxs,0.3342
sorting algorithms explained,1,LsY7U2Muau8,0.3077
sorting algorithms explained,2,mrRfPVm9nAY,0.3036
sorting algorithms explained,3,xwI5OBEnsZU,0.2427
sorting algorithms explained,4,gmuTjeQUbTM,0.2283
sorting algorithms explained,5,GAZkxw6DJJE,0.2252
searching algorithms in programming,1,mrRfPVm9nAY,0.4032
searching algorithms in programming,2,MZVyASCY8sQ,0.3947
searching algorithms in programming,3,GAZkxw6DJJE,0.3922
searching algorithms in programming,4,gmuTjeQUbTM,0.3885
searching algorithms in programming,5,LsY7U2Muau8,0.3714
introduction to machine learning,1,MZVyASCY8sQ,0.4014
introduction to machine learning,2,tr5Fapv80Cw,0.3392
introduction to machine learning,3,wu8npoU37cI,0.3182
introduction to machine learning,4,bB5eA7vU9W8,0.2994
introduction to machine learning,5,tVskbekONlw,0.2992
how machine learning works,1,MZVyASCY8sQ,0.4057
how machine learning works,2,tVskbekONlw,0.3465
how machine learning works,3,mvleESOUTRw,0.3199
how machine learning works,4,aokdrllzkFQ,0.305
how machine learning works,5,ll1mpTJ4qBU,0.2784
supervised vs unsupervised learning,1,7G9q_5q82hY,0.2771
supervised vs unsupervised learning,2,G9JxuWk7BDA,0.2654
supervised vs unsupervised learning,3,MZVyASCY8sQ,0.2609
supervised vs unsupervised learning,4,xJjxQjZTryI,0.2538
supervised vs unsupervised learning,5,tVskbekONlw,0.2447
neural networks explained simply,1,tfpGS_doPvY,0.5301
neural networks explained simply,2,kRv2ElPNAdY,0.5185
neural networks explained simply,3,MZVyASCY8sQ,0.4787
neural networks explained simply,4,wu8npoU37cI,0.4505
neural networks explained simply,5,ll1mpTJ4qBU,0.3593
what is deep learning,1,tfpGS_doPvY,0.4916
what is deep learning,2,kRv2ElPNAdY,0.378
what is deep learning,3,D5F8kp_azzw,0.377
what is deep learning,4,mvleESOUTRw,0.3457
what is deep learning,5,MZVyASCY8sQ,0.3195
how AI models are trained,1,MZVyASCY8sQ,0.5746
how AI models are trained,2,wu8npoU37cI,0.4999
how AI models are trained,3,YtHdaXuOAks,0.4574
how AI models are trained,4,tr5Fapv80Cw,0.4383
how AI models are trained,5,aokdrllzkFQ,0.4338
machine learning project ideas,1,mvleESOUTRw,0.4968
machine learning project ideas,2,Q5U-b6gRTaY,0.4425
machine learning project ideas,3,xJjxQjZTryI,0.4222
machine learning project ideas,4,tr5Fapv80Cw,0.4025
machine learning project ideas,5,suuDVhYXe5Y,0.398
building ML models step by step,1,tVskbekONlw,0.5034
building ML models step by step,2,tr5Fapv80Cw,0.4448
building ML models step by step,3,D5F8kp_azzw,0.4309
building ML models step by step,4,jaDi29eRYps,0.4273
building ML models step by step,5,MZVyASCY8sQ,0.4253
practical applications of machine learning,1,MZVyASCY8sQ,0.3654
practical applications of machine learning,2,tr5Fapv80Cw,0.3382
practical applications of machine learning,3,tVskbekONlw,0.3192
practical applications of machine learning,4,MdEexYakkHw,0.3057
practical applications of machine learning,5,mvleESOUTRw,0.2866
AI tools developers should know,1,MdEexYakkHw,0.6035
AI tools developers should know,2,6_qwLx8jwBY,0.5473
AI tools developers should know,3,YtHdaXuOAks,0.5397
AI tools developers should know,4,aokdrllzkFQ,0.5259
AI tools developers should know,5,MZVyASCY8sQ,0.5204
how to build a web application,1,KOutPbKc9UM,0.5522
how to build a web application,2,Vs4hQsDpxww,0.4557
how to build a web application,3,yguDjZcUpH8,0.4479
how to build a web application,4,UuknxVdqzb4,0.4323
how to build a web application,5,jBf7of9JTV8,0.4255
front end vs back end development,1,KOutPbKc9UM,0.4004
front end vs back end development,2,xH9ZKsTY73Y,0.3601
front end vs back end development,3,yguDjZcUpH8,0.3566
front end vs back end development,4,c1Op7YSTwhg,0.344
front end vs back end development,5,cw02dMpWStI,0.3395
introduction to HTML CSS JavaScript,1,c6IyCwAV6BY,0.505
introduction to HTML CSS JavaScript,2,Vs4hQsDpxww,0.4517
introduction to HTML CSS JavaScript,3,yguDjZcUpH8,0.4328
introduction to HTML CSS JavaScript,4,tPkJLnDqAKk,0.416
introduction to HTML CSS JavaScript,5,cfOI7PBhkWk,0.401
how APIs work in web development,1,ll1mpTJ4qBU,0.4749
how APIs work in web development,2,KOutPbKc9UM,0.4094
how APIs work in web development,3,UsfpzxZNsPo,0.3493
how APIs work in web development,4,W4M-g9wsEC4,0.345
how APIs work in web development,5,YtHdaXuOAks,0.3305
building REST APIs explained,1,ll1mpTJ4qBU,0.4696
building REST APIs explained,2,KOutPbKc9UM,0.4689
building REST APIs explained,3,W4M-g9wsEC4,0.3786
building REST APIs explained,4,jBf7of9JTV8,0.3762
building REST APIs explained,5,21_I-12f5JE,0.3655
full stack development roadmap,1,lIghF_OewYg,0.4086
full stack development roadmap,2,yguDjZcUpH8,0.4054
full stack development roadmap,3,xH9ZKsTY73Y,0.397
full stack development roadmap,4,LzMnsfqjzkA,0.3948
full stack development roadmap,5,cfOI7PBhkWk,0.3878
how to deploy a web application,1,lEcULR30-GM,0.5065
how to deploy a web application,2,KOutPbKc9UM,0.3559
how to deploy a web application,3,9vkkJ4tC4SQ,0.344
how to deploy a web application,4,HEGrkgpe7-Y,0.3233
how to deploy a web application,5,UuknxVdqzb4,0.2697
modern JavaScript frameworks overview,1,y5aKEyPfLKs,0.5088
modern JavaScript frameworks overview,2,Kt2E8nblvXU,0.5026
modern JavaScript frameworks overview,3,HEGrkgpe7-Y,0.4935
modern JavaScript frameworks overview,4,tPkJLnDqAKk,0.4922
modern JavaScript frameworks overview,5,cfOI7PBhkWk,0.4876
backend development fundamentals,1,KOutPbKc9UM,0.5969
backend development fundamentals,2,ll1mpTJ4qBU,0.4568
backend development fundamentals,3,yguDjZcUpH8,0.4385
backend development fundamentals,4,W4M-g9wsEC4,0.4366
backend development fundamentals,5,xH9ZKsTY73Y,0.4341
how web servers process requests,1,KOutPbKc9UM,0.2812
how web servers process requests,2,DosHnyq78xY,0.2764
how web servers process requests,3,Ai00MsNabaE,0.2699
how web servers process requests,4,jBf7of9JTV8,0.2391
how web servers process requests,5,GIZzRGYpCbM,0.2386
what is DevOps,1,5JTBS09e7ew,0.4236
what is DevOps,2,rgt5GPFgryI,0.3911
what is DevOps,3,4T3YlTSWa5s,0.371
what is DevOps,4,Fr9GqFwl6NM,0.3615
what is DevOps,5,UIf-SlmMays,0.3552
introduction to Kubernetes,1,Fr9GqFwl6NM,0.7286
introduction to Kubernetes,2,l57xKN6OBhY,0.7256
introduction to Kubernetes,3,_4uQI4ihGVU,0.7209
introduction to Kubernetes,4,odP153inZUo,0.6209
introduction to Kubernetes,5,rgt5GPFgryI,0.4501
containerization explained with Docker,1,lEcULR30-GM,0.4665
containerization explained with Docker,2,Fr9GqFwl6NM,0.433
containerization explained with Docker,3,l57xKN6OBhY,0.4173
containerization explained with Docker,4,xHUwGx-ZlTM,0.3021
containerization explained with Docker,5,odP153inZUo,0.2695
how CI/CD pipelines work,1,9vkkJ4tC4SQ,0.3384
how CI/CD pipelines work,2,lEcULR30-GM,0.3132
how CI/CD pipelines work,3,UIf-SlmMays,0.2933
how CI/CD pipelines work,4,D5F8kp_azzw,0.2879
how CI/CD pipelines work,5,DosHnyq78xY,0.26
cloud computing basics for developers,1,5JTBS09e7ew,0.6011
cloud computing basics for developers,2,u43gJJrVa1I,0.5594
cloud computing basics for developers,3,xHUwGx-ZlTM,0.526
cloud computing basics for developers,4,Zv2a6ixXEQc,0.5205
cloud computing basics for developers,5,0Hd5vYqin7w,0.5056
infrastructure automation explained,1,UIf-SlmMays,0.4531
infrastructure automation explained,2,Fr9GqFwl6NM,0.3942
infrastructure automation explained,3,l57xKN6OBhY,0.3888
infrastructure automation explained,4,GIZzRGYpCbM,0.3856
infrastructure automation explained,5,UsfpzxZNsPo,0.3435
monitoring and logging systems,1,FAKgFhWX8pQ,0.3483
monitoring and logging systems,2,l57xKN6OBhY,0.2685
monitoring and logging systems,3,tVskbekONlw,0.2656
monitoring and logging systems,4,Fr9GqFwl6NM,0.2634
monitoring and logging systems,5,ZldNCx4AvEM,0.2331
microservices architecture explained,1,xHUwGx-ZlTM,0.4758
microservices architecture explained,2,Fr9GqFwl6NM,0.3585
microservices architecture explained,3,DosHnyq78xY,0.3539
microservices architecture explained,4,l57xKN6OBhY,0.3464
microservices architecture explained,5,tr5Fapv80Cw,0.314
scaling applications in production,1,Fr9GqFwl6NM,0.3466
scaling applications in production,2,lEcULR30-GM,0.3417
scaling applications in production,3,HEGrkgpe7-Y,0.34
scaling applications in production,4,MtQhSMoHXMY,0.329
scaling applications in production,5,l57xKN6OBhY,0.3253
distributed systems basics,1,xHUwGx-ZlTM,0.3993
distributed systems basics,2,Fr9GqFwl6NM,0.3782
distributed systems basics,3,DosHnyq78xY,0.3722
distributed systems basics,4,l57xKN6OBhY,0.3717
distributed systems basics,5,mAFoROnOfHs,0.3561
how to contribute to open source,1,FHBBaSUQk1Y,0.714
how to contribute to open source,2,c1Op7YSTwhg,0.6475
how to contribute to open source,3,4RGkpzTJjfg,0.587
how to contribute to open source,4,HihwnUepmdg,0.5128
how to contribute to open source,5,cw02dMpWStI,0.5078
benefits of contributing to open source projects,1,c1Op7YSTwhg,0.6783
benefits of contributing to open source projects,2,4RGkpzTJjfg,0.6698
benefits of contributing to open source projects,3,FHBBaSUQk1Y,0.582
benefits of contributing to open source projects,4,cw02dMpWStI,0.4163
benefits of contributing to open source projects,5,HihwnUepmdg,0.3869
finding beginner friendly open source projects,1,c1Op7YSTwhg,0.5676
finding beginner friendly open source projects,2,FHBBaSUQk1Y,0.5405
finding beginner friendly open source projects,3,xH9ZKsTY73Y,0.5239
finding beginner friendly open source projects,4,cw02dMpWStI,0.5003
finding beginner friendly open source projects,5,cjam-BWAaL8,0.4984
open source collaboration workflow,1,FHBBaSUQk1Y,0.4728
open source collaboration workflow,2,UIf-SlmMays,0.4611
open source collaboration workflow,3,c1Op7YSTwhg,0.4576
open source collaboration workflow,4,GIZzRGYpCbM,0.4484
open source collaboration workflow,5,mAFoROnOfHs,0.3966
GitHub contribution guide,1,mAFoROnOfHs,0.4658
GitHub contribution guide,2,ZldNCx4AvEM,0.4647
GitHub contribution guide,3,FHBBaSUQk1Y,0.3406
GitHub contribution guide,4,cw02dMpWStI,0.3398
GitHub contribution guide,5,lIghF_OewYg,0.3389
how maintainers review pull requests,1,ZldNCx4AvEM,0.2765
how maintainers review pull requests,2,jie_039IekA,0.2505
how maintainers review pull requests,3,OGRyln02De4,0.2333
how maintainers review pull requests,4,cw02dMpWStI,0.2265
how maintainers review pull requests,5,ll1mpTJ4qBU,0.1951
importance of open source in software development,1,4RGkpzTJjfg,0.6152
importance of open source in software development,2,c1Op7YSTwhg,0.57
importance of open source in software development,3,FHBBaSUQk1Y,0.5263
importance of open source in software development,4,MdEexYakkHw,0.3887
importance of open source in software development,5,HihwnUepmdg,0.38
open source project structure explained,1,c1Op7YSTwhg,0.5803
open source project structure explained,2,4RGkpzTJjfg,0.4761
open source project structure explained,3,FHBBaSUQk1Y,0.4583
open source project structure explained,4,HihwnUepmdg,0.4092
open source project structure explained,5,cw02dMpWStI,0.4062
best practices for contributing code,1,OGRyln02De4,0.4181
best practices for contributing code,2,FHBBaSUQk1Y,0.3711
best practices for contributing code,3,cw02dMpWStI,0.3571
best practices for contributing code,4,Vs4hQsDpxww,0.3526
best practices for contributing code,5,ZldNCx4AvEM,0.3292
learning programming through open source,1,cjam-BWAaL8,0.5609
learning programming through open source,2,GAZkxw6DJJE,0.5518
learning programming through open source,3,xH9ZKsTY73Y,0.5448
