Query,Rank,Video,Distance
what are programming fundamentals,1,gmuTjeQUbTM,1.0418
what are programming fundamentals,2,cjam-BWAaL8,1.0444
what are programming fundamentals,3,GAZkxw6DJJE,1.049
what are programming fundamentals,4,66hDgWottdA,1.0624
what are programming fundamentals,5,LsY7U2Muau8,1.0667
how to start learning programming,1,cjam-BWAaL8,0.8833
how to start learning programming,2,GAZkxw6DJJE,0.9373
how to start learning programming,3,jaDi29eRYps,0.9542
how to start learning programming,4,LzMnsfqjzkA,0.9576
how to start learning programming,5,g_3IKHG-rfA,0.9654
beginner coding concepts explained,1,GAZkxw6DJJE,0.9602
beginner coding concepts explained,2,cjam-BWAaL8,0.974
beginner coding concepts explained,3,hM2T45qbIPI,1.0156
beginner coding concepts explained,4,cfOI7PBhkWk,1.0158
beginner coding concepts explained,5,pdleuy5lljY,1.0363
basics of software development,1,626BcUO84og,0.9669
basics of software development,2,cjam-BWAaL8,0.9983
basics of software development,3,I7_WXKhyGms,1.0395
basics of software development,4,GAZkxw6DJJE,1.0487
basics of software development,5,yguDjZcUpH8,1.0558
introduction to programming logic,1,gmuTjeQUbTM,1.0849
introduction to programming logic,2,LsY7U2Muau8,1.0968
introduction to programming logic,3,cjam-BWAaL8,1.116
introduction to programming logic,4,WXk7yDqsKxs,1.1161
introduction to programming logic,5,GAZkxw6DJJE,1.1237
how computers execute code,1,Ai00MsNabaE,1.0518
how computers execute code,2,LsY7U2Muau8,1.0869
how computers execute code,3,TcZFJrjxOYQ,1.1614
how computers execute code,4,Vs4hQsDpxww,1.1783
how computers execute code,5,Fi8vnYgMiHA,1.1865
difference between compiled and interpreted languages,1,ikXDYsdg15c,1.1773
difference between compiled and interpreted languages,2,Fi8vnYgMiHA,1.2364
difference between compiled and interpreted languages,3,iMLGy2wEE_g,1.2443
difference between compiled and interpreted languages,4,HEGrkgpe7-Y,1.2513
difference between compiled and interpreted languages,5,KUbbb0T1YZ8,1.2562
how variables and loops work,1,URJBQ3b9n6Y,1.0804
how variables and loops work,2,U6-RekkuORI,1.0904
how variables and loops work,3,davl7UFG-Ls,1.0954
how variables and loops work,4,kFEBs8wuhiU,1.1152
how variables and loops work,5,pdleuy5lljY,1.1271
programming basics for beginners,1,cjam-BWAaL8,0.8705
programming basics for beginners,2,GAZkxw6DJJE,0.9116
programming basics for beginners,3,g_3IKHG-rfA,0.9453
programming basics for beginners,4,hM2T45qbIPI,0.9667
programming basics for beginners,5,cfOI7PBhkWk,0.967
core concepts every programmer should know,1,gmuTjeQUbTM,1.057
core concepts every programmer should know,2,LsY7U2Muau8,1.0606
core concepts every programmer should know,3,I7_WXKhyGms,1.0668
core concepts every programmer should know,4,bB5eA7vU9W8,1.0745
core concepts every programmer should know,5,Fi8vnYgMiHA,1.0868
what are data structures in programming,1,mrRfPVm9nAY,0.8023
what are data structures in programming,2,g_3IKHG-rfA,1.0501
