Query,Rank,Video,Distance
what are programming fundamentals,1,gmuTjeQUbTM,16.0075
what are programming fundamentals,2,cjam-BWAaL8,16.2193
what are programming fundamentals,3,GAZkxw6DJJE,16.3552
what are programming fundamentals,4,58Tn2xB8kIE,16.5172
what are programming fundamentals,5,LsY7U2Muau8,16.603
how to start learning programming,1,cjam-BWAaL8,13.5566
how to start learning programming,2,GAZkxw6DJJE,14.5006
how to start learning programming,3,hM2T45qbIPI,14.8173
how to start learning programming,4,jaDi29eRYps,14.9295
how to start learning programming,5,LzMnsfqjzkA,14.996
beginner coding concepts explained,1,GAZkxw6DJJE,14.8916
beginner coding concepts explained,2,cjam-BWAaL8,15.2486
beginner coding concepts explained,3,ZK6XWSCCgPQ,15.5104
beginner coding concepts explained,4,hM2T45qbIPI,15.8006
beginner coding concepts explained,5,voPcxCFMbbM,16.0488
basics of software development,1,626BcUO84og,15.175
basics of software development,2,cjam-BWAaL8,15.6498
basics of software development,3,I7_WXKhyGms,15.9051
basics of software development,4,OGRyln02De4,16.0201
basics of software development,5,lIghF_OewYg,16.024
introduction to programming logic,1,gmuTjeQUbTM,16.9726
introduction to programming logic,2,WXk7yDqsKxs,17.0881
introduction to programming logic,3,LsY7U2Muau8,17.3275
introduction to programming logic,4,GAZkxw6DJJE,17.5387
introduction to programming logic,5,cjam-BWAaL8,17.5447
how computers execute code,1,Ai00MsNabaE,16.5381
how computers execute code,2,LsY7U2Muau8,16.6327
how computers execute code,3,TcZFJrjxOYQ,18.0089
how computers execute code,4,DosHnyq78xY,18.2523
how computers execute code,5,gmuTjeQUbTM,18.3124
difference between compiled and interpreted languages,1,ikXDYsdg15c,18.0919
difference between compiled and interpreted languages,2,HEGrkgpe7-Y,19.119
difference between compiled and interpreted languages,3,GAZkxw6DJJE,19.2466
difference between compiled and interpreted languages,4,BMt-qvrEcFY,19.3706
difference between compiled and interpreted languages,5,Fi8vnYgMiHA,19.3883
how variables and loops work,1,URJBQ3b9n6Y,16.7167
how variables and loops work,2,davl7UFG-Ls,16.9082
how variables and loops work,3,U6-RekkuORI,16.9451
how variables and loops work,4,9kKNFP9srjc,16.9884
how variables and loops work,5,ry_mcAPVTOc,17.5936
programming basics for beginners,1,cjam-BWAaL8,13.7775
programming basics for beginners,2,GAZkxw6DJJE,14.2855
programming basics for beginners,3,WXk7yDqsKxs,14.8443
programming basics for beginners,4,g_3IKHG-rfA,14.8979
programming basics for beginners,5,cfOI7PBhkWk,14.9421
core concepts every programmer should know,1,gmuTjeQUbTM,16.273
core concepts every programmer should know,2,LsY7U2Muau8,16.5441
core concepts every programmer should know,3,58Tn2xB8kIE,16.5806
core concepts every programmer should know,4,bB5eA7vU9W8,16.5829
core concepts every programmer should know,5,Fi8vnYgMiHA,16.697
what are data structures in programming,1,mrRfPVm9nAY,12.4202
what are data structures in programming,2,g_3IKHG-rfA,16.2799
what are data structures in programming,3,26ls5lNiijk,16.5229
what are data structures in programming,4,GAZkxw6DJJE,17.1223
what are data structures in programming,5,WXk7yDqsKxs,17.4358
explain arrays and linked lists,1,mrRfPVm9nAY,16.1988
explain arrays and linked lists,2,HwFw1abJkUs,17.5644
explain arrays and linked lists,3,ry_mcAPVTOc,18.0162
explain arrays and linked lists,4,QgZoz4xFfLE,18.0679
explain arrays and linked lists,5,vZHhmzT9TL8,18.0921
introduction to stacks and queues,1,mrRfPVm9nAY,17.4363
introduction to stacks and queues,2,s950xhRvqYQ,17.9622
introduction to stacks and queues,3,DosHnyq78xY,18.2624
introduction to stacks and queues,4,cfOI7PBhkWk,18.3611
