query,rank,video_id,score
How to get started with coding for beginners,1,H6gHXV6OgFU,0.58559024
How to get started with coding for beginners,2,voPcxCFMbbM,0.5766635
How to get started with coding for beginners,3,ZK6XWSCCgPQ,0.54583424
How to get started with coding for beginners,4,xJjxQjZTryI,0.50934553
How to get started with coding for beginners,5,lw1vTtFyfgg,0.4914605
Best way to learn programming in 2025,1,Fi8vnYgMiHA,0.61902225
Best way to learn programming in 2025,2,gmuTjeQUbTM,0.5520263
Best way to learn programming in 2025,3,ZK6XWSCCgPQ,0.5310041
Best way to learn programming in 2025,4,H6gHXV6OgFU,0.51882046
Best way to learn programming in 2025,5,q4Ovbh3tpU0,0.51591283
What is the future of web development,1,uWRdzJTpcpI,0.5310365
What is the future of web development,2,BiA08jfr4RU,0.5112836
What is the future of web development,3,HEGrkgpe7-Y,0.4978992
What is the future of web development,4,lIghF_OewYg,0.48621088
What is the future of web development,5,y5aKEyPfLKs,0.4705045
How to use Three.js for creative coding,1,v7Butot2fHY,0.8172788
How to use Three.js for creative coding,2,yhtdkuw9mbM,0.71987295
How to use Three.js for creative coding,3,tdsQwuyS6DQ,0.7081587
How to use Three.js for creative coding,4,TnBI8_6tmKg,0.65991056
How to use Three.js for creative coding,5,PiflojewvfU,0.6426536
Beginner guide to JavaScript frameworks,1,BiA08jfr4RU,0.63098145
Beginner guide to JavaScript frameworks,2,c6IyCwAV6BY,0.5922178
Beginner guide to JavaScript frameworks,3,HEGrkgpe7-Y,0.5591999
Beginner guide to JavaScript frameworks,4,Fd4XR_EkDHc,0.5465968
Beginner guide to JavaScript frameworks,5,KOutPbKc9UM,0.54434836
How to build projects with React step by step,1,keTcXT145CI,0.5247373
How to build projects with React step by step,2,cw02dMpWStI,0.5125407
How to build projects with React step by step,3,21_I-12f5JE,0.44227785
How to build projects with React step by step,4,BiA08jfr4RU,0.42901242
How to build projects with React step by step,5,Kt2E8nblvXU,0.39894998
What skills do software developers need today,1,ekXUXu7Eejs,0.60533226
What skills do software developers need today,2,vc5T3VmCar0,0.51158565
What skills do software developers need today,3,q4Ovbh3tpU0,0.50931776
What skills do software developers need today,4,uWRdzJTpcpI,0.49501783
What skills do software developers need today,5,s950xhRvqYQ,0.4805941
How to learn full stack development efficiently,1,VgBQ0yBSjfM,0.4784941
How to learn full stack development efficiently,2,cjam-BWAaL8,0.4723431
How to learn full stack development efficiently,3,lw1vTtFyfgg,0.46467975
How to learn full stack development efficiently,4,ZK6XWSCCgPQ,0.4590692
How to learn full stack development efficiently,5,voPcxCFMbbM,0.4532544
Tips for mastering Python programming,1,UsfpzxZNsPo,0.5900566
Tips for mastering Python programming,2,ZK6XWSCCgPQ,0.48337206
Tips for mastering Python programming,3,kb_scuDUHls,0.46822783
Tips for mastering Python programming,4,voPcxCFMbbM,0.4585761
Tips for mastering Python programming,5,MZVyASCY8sQ,0.44418475
What is the best programming language to learn first,1,MZVyASCY8sQ,0.54979104
What is the best programming language to learn first,2,ZK6XWSCCgPQ,0.4794969
What is the best programming language to learn first,3,q4Ovbh3tpU0,0.44832787
What is the best programming language to learn first,4,lw1vTtFyfgg,0.43413317
What is the best programming language to learn first,5,xtGThMTO9rI,0.4217196
How to improve problem solving in coding,1,OGRyln02De4,0.56349206
How to improve problem solving in coding,2,o54etZM-DrY,0.49812132
How to improve problem solving in coding,3,66hDgWottdA,0.49316964
How to improve problem solving in coding,4,q4Ovbh3tpU0,0.47380155
How to improve problem solving in coding,5,xJjxQjZTryI,0.473619
Real world applications of machine learning,1,MdEexYakkHw,0.5134882
