query,rank,video_id,score
How to get started with coding for beginners,1,H6gHXV6OgFU,0.538408
How to get started with coding for beginners,2,voPcxCFMbbM,0.514893
How to get started with coding for beginners,3,ZK6XWSCCgPQ,0.48431766
How to get started with coding for beginners,4,BiA08jfr4RU,0.45703638
How to get started with coding for beginners,5,xJjxQjZTryI,0.4468025
Best way to learn programming in 2025,1,Fi8vnYgMiHA,0.5843202
Best way to learn programming in 2025,2,gmuTjeQUbTM,0.49564585
Best way to learn programming in 2025,3,H6gHXV6OgFU,0.47701794
Best way to learn programming in 2025,4,ZK6XWSCCgPQ,0.47115892
Best way to learn programming in 2025,5,q4Ovbh3tpU0,0.46302992
What is the future of web development,1,BiA08jfr4RU,0.47812998
What is the future of web development,2,uWRdzJTpcpI,0.4695263
What is the future of web development,3,HEGrkgpe7-Y,0.45662123
What is the future of web development,4,y5aKEyPfLKs,0.4242572
What is the future of web development,5,lIghF_OewYg,0.42268717
How to use Three.js for creative coding,1,v7Butot2fHY,0.7864602
How to use Three.js for creative coding,2,yhtdkuw9mbM,0.6781868
How to use Three.js for creative coding,3,tdsQwuyS6DQ,0.6502768
How to use Three.js for creative coding,4,TnBI8_6tmKg,0.62243044
How to use Three.js for creative coding,5,ehkDsePv3W8,0.6008254
Beginner guide to JavaScript frameworks,1,BiA08jfr4RU,0.5900663
Beginner guide to JavaScript frameworks,2,c6IyCwAV6BY,0.5214858
Beginner guide to JavaScript frameworks,3,HEGrkgpe7-Y,0.51283985
Beginner guide to JavaScript frameworks,4,KOutPbKc9UM,0.50100565
Beginner guide to JavaScript frameworks,5,Fd4XR_EkDHc,0.49613935
How to build projects with React step by step,1,keTcXT145CI,0.48937595
How to build projects with React step by step,2,cw02dMpWStI,0.43024182
How to build projects with React step by step,3,21_I-12f5JE,0.41651636
How to build projects with React step by step,4,BiA08jfr4RU,0.40119356
How to build projects with React step by step,5,v7Butot2fHY,0.37433818
What skills do software developers need today,1,ekXUXu7Eejs,0.55480874
What skills do software developers need today,2,vc5T3VmCar0,0.4754207
What skills do software developers need today,3,q4Ovbh3tpU0,0.45711094
What skills do software developers need today,4,uWRdzJTpcpI,0.4376796
What skills do software developers need today,5,s950xhRvqYQ,0.41590342
How to learn full stack development efficiently,1,VgBQ0yBSjfM,0.4209805
How to learn full stack development efficiently,2,21_I-12f5JE,0.41400033
How to learn full stack development efficiently,3,ZK6XWSCCgPQ,0.4073313
How to learn full stack development efficiently,4,voPcxCFMbbM,0.40470317
How to learn full stack development efficiently,5,cjam-BWAaL8,0.40076113
Tips for mastering Python programming,1,UsfpzxZNsPo,0.55496156
Tips for mastering Python programming,2,kb_scuDUHls,0.43065453
Tips for mastering Python programming,3,ZK6XWSCCgPQ,0.428895
Tips for mastering Python programming,4,voPcxCFMbbM,0.40945464
Tips for mastering Python programming,5,MZVyASCY8sQ,0.4079947
What is the best programming language to learn first,1,MZVyASCY8sQ,0.5049968
What is the best programming language to learn first,2,ZK6XWSCCgPQ,0.42545667
What is the best programming language to learn first,3,q4Ovbh3tpU0,0.4023727
What is the best programming language to learn first,4,xtGThMTO9rI,0.37683812
What is the best programming language to learn first,5,lw1vTtFyfgg,0.37375143
How to improve problem solving in coding,1,OGRyln02De4,0.49390844
How to improve problem solving in coding,2,66hDgWottdA,0.44411093
How to improve problem solving in coding,3,o54etZM-DrY,0.43128586
How to improve problem solving in coding,4,q4Ovbh3tpU0,0.4252353
How to improve problem solving in coding,5,xJjxQjZTryI,0.41546294
Real world applications of machine learning,1,MdEexYakkHw,0.4612828
Real world applications of machine learning,2,zkJt9y7ixiY,0.39731598
Real world applications of machine learning,3,aokdrllzkFQ,0.38695055
Real world applications of machine learning,4,suuDVhYXe5Y,0.37651378
Real world applications of machine learning,5,gmuTjeQUbTM,0.37090617
How AI is changing software development,1,MdEexYakkHw,0.5983504
How AI is changing software development,2,lIghF_OewYg,0.52358985
How AI is changing software development,3,suuDVhYXe5Y,0.5027186
How AI is changing software development,4,56Hv0LDjtWM,0.500623
How AI is changing software development,5,2yF62QE59G8,0.49582618
Beginner guide to APIs and how they work,1,KOutPbKc9UM,0.46666396
Beginner guide to APIs and how they work,2,WSsOXo07LeE,0.45072806
Beginner guide to APIs and how they work,3,UsfpzxZNsPo,0.42239025
Beginner guide to APIs and how they work,4,GIZzRGYpCbM,0.37575853
Beginner guide to APIs and how they work,5,Q7P20fHJlm4,0.3745715
How to use REST APIs in projects,1,KOutPbKc9UM,0.39733255
How to use REST APIs in projects,2,21_I-12f5JE,0.31011426
How to use REST APIs in projects,3,WSsOXo07LeE,0.30421305
How to use REST APIs in projects,4,BiA08jfr4RU,0.28639522
How to use REST APIs in projects,5,yhtdkuw9mbM,0.28240758
Best practices for writing clean code,1,626BcUO84og,0.5418641
Best practices for writing clean code,2,OGRyln02De4,0.33400816
Best practices for writing clean code,3,ZldNCx4AvEM,0.3017695
Best practices for writing clean code,4,7ysrM5BMe6Q,0.2984423
Best practices for writing clean code,5,voPcxCFMbbM,0.29732537
How to debug code effectively,1,ll1mpTJ4qBU,0.44102836
How to debug code effectively,2,OGRyln02De4,0.43788314
How to debug code effectively,3,DIRnYM2dOs0,0.42577946
How to debug code effectively,4,FqJuiLbgqNA,0.323521
How to debug code effectively,5,iMLGy2wEE_g,0.29065335
Tips for learning data structures and algorithms,1,mrRfPVm9nAY,0.56782866
Tips for learning data structures and algorithms,2,xwI5OBEnsZU,0.49312243
Tips for learning data structures and algorithms,3,G9JxuWk7BDA,0.43223327
Tips for learning data structures and algorithms,4,MZVyASCY8sQ,0.42920643
Tips for learning data structures and algorithms,5,ZK6XWSCCgPQ,0.41079748
How to prepare for coding interviews,1,BrBMM2gIQN8,0.63406485
How to prepare for coding interviews,2,xwI5OBEnsZU,0.51483387
How to prepare for coding interviews,3,EO8QoyRSVaw,0.46305647
How to prepare for coding interviews,4,ekXUXu7Eejs,0.45039243
How to prepare for coding interviews,5,cfOI7PBhkWk,0.43034276
What is cloud computing and how to learn it,1,xHUwGx-ZlTM,0.47062206
What is cloud computing and how to learn it,2,_4uQI4ihGVU,0.4294102
What is cloud computing and how to learn it,3,fQbBPa0ADvs,0.39335883
What is cloud computing and how to learn it,4,9HOpanT0GRs,0.3869015
What is cloud computing and how to learn it,5,tVskbekONlw,0.38539433
Introduction to DevOps for beginners,1,xHUwGx-ZlTM,0.46414673
Introduction to DevOps for beginners,2,s950xhRvqYQ,0.4429314
Introduction to DevOps for beginners,3,rgt5GPFgryI,0.42921925
Introduction to DevOps for beginners,4,cjam-BWAaL8,0.42644447
Introduction to DevOps for beginners,5,_4uQI4ihGVU,0.42274928
How to deploy a web application,1,KOutPbKc9UM,0.33075267
How to deploy a web application,2,BiA08jfr4RU,0.31544667
How to deploy a web application,3,yhtdkuw9mbM,0.26821688
How to deploy a web application,4,lEcULR30-GM,0.2669324
How to deploy a web application,5,21_I-12f5JE,0.26057076
What is Docker and how to use it,1,lEcULR30-GM,0.43269247
What is Docker and how to use it,2,l57xKN6OBhY,0.30165368
What is Docker and how to use it,3,Fr9GqFwl6NM,0.2979911
What is Docker and how to use it,4,_4uQI4ihGVU,0.2967978
What is Docker and how to use it,5,wP8SiwiExBk,0.2706164
How to build scalable applications,1,xHUwGx-ZlTM,0.46052104
How to build scalable applications,2,21_I-12f5JE,0.3733837
How to build scalable applications,3,D5F8kp_azzw,0.36868116
How to build scalable applications,4,BMt-qvrEcFY,0.36197472
How to build scalable applications,5,HEGrkgpe7-Y,0.31914806
