query,rank,video_id,score
How to get started with coding for beginners,1,voPcxCFMbbM,-0.8760446414683041
How to get started with coding for beginners,2,H6gHXV6OgFU,-0.876659393553291
How to get started with coding for beginners,3,ZK6XWSCCgPQ,-0.9047997054773762
How to get started with coding for beginners,4,xJjxQjZTryI,-0.935890478511708
How to get started with coding for beginners,5,cjam-BWAaL8,-0.9446591209278025
Best way to learn programming in 2025,1,Fi8vnYgMiHA,-0.8499315643125823
Best way to learn programming in 2025,2,gmuTjeQUbTM,-0.9027028647849095
Best way to learn programming in 2025,3,ZK6XWSCCgPQ,-0.9192279866802554
Best way to learn programming in 2025,4,q4Ovbh3tpU0,-0.9377846859835233
Best way to learn programming in 2025,5,H6gHXV6OgFU,-0.9440930726958174
What is the future of web development,1,uWRdzJTpcpI,-0.9179887701371078
What is the future of web development,2,lIghF_OewYg,-0.9541457994210588
What is the future of web development,3,BiA08jfr4RU,-0.9582571566720914
What is the future of web development,4,HEGrkgpe7-Y,-0.9632352750571943
What is the future of web development,5,y5aKEyPfLKs,-0.9821208779299807
How to use Three.js for creative coding,1,v7Butot2fHY,-0.5942090070843166
How to use Three.js for creative coding,2,yhtdkuw9mbM,-0.7288103312460964
How to use Three.js for creative coding,3,tdsQwuyS6DQ,-0.736651850596907
How to use Three.js for creative coding,4,TnBI8_6tmKg,-0.8029777929283304
How to use Three.js for creative coding,5,PiflojewvfU,-0.8057031958534302
Beginner guide to JavaScript frameworks,1,BiA08jfr4RU,-0.8332973731590274
Beginner guide to JavaScript frameworks,2,c6IyCwAV6BY,-0.8558162710548118
Beginner guide to JavaScript frameworks,3,HEGrkgpe7-Y,-0.9029868121147445
Beginner guide to JavaScript frameworks,4,Fd4XR_EkDHc,-0.9119311660641375
Beginner guide to JavaScript frameworks,5,KOutPbKc9UM,-0.9192837748833895
How to build projects with React step by step,1,cw02dMpWStI,-0.9187810320905524
How to build projects with React step by step,2,keTcXT145CI,-0.9439343333624525
How to build projects with React step by step,3,21_I-12f5JE,-1.0265797241427483
How to build projects with React step by step,4,BiA08jfr4RU,-1.035437075295027
How to build projects with React step by step,5,Q7P20fHJlm4,-1.045814412027727
What skills do software developers need today,1,ekXUXu7Eejs,-0.8546465312399202
What skills do software developers need today,2,q4Ovbh3tpU0,-0.9440751753011022
What skills do software developers need today,3,_-Tj3bPSYCI,-0.944692972818363
What skills do software developers need today,4,uWRdzJTpcpI,-0.9520486912604245
What skills do software developers need today,5,vc5T3VmCar0,-0.9553912325446152
How to learn full stack development efficiently,1,cjam-BWAaL8,-0.9583061605117137
How to learn full stack development efficiently,2,VgBQ0yBSjfM,-0.965449227461106
How to learn full stack development efficiently,3,_-Tj3bPSYCI,-0.967349308243873
