query,rank,video_id,score
How to get started with coding for beginners,1,xJjxQjZTryI,0.5890628
How to get started with coding for beginners,2,voPcxCFMbbM,0.5804789
How to get started with coding for beginners,3,lw1vTtFyfgg,0.5716113
How to get started with coding for beginners,4,H6gHXV6OgFU,0.56971586
How to get started with coding for beginners,5,HihwnUepmdg,0.53133476
Best way to learn programming in 2025,1,Fi8vnYgMiHA,0.6881673
Best way to learn programming in 2025,2,gmuTjeQUbTM,0.6526843
Best way to learn programming in 2025,3,q4Ovbh3tpU0,0.5946276
Best way to learn programming in 2025,4,ZK6XWSCCgPQ,0.57264626
Best way to learn programming in 2025,5,g_3IKHG-rfA,0.56708574
What is the future of web development,1,uWRdzJTpcpI,0.537797
What is the future of web development,2,BiA08jfr4RU,0.52935237
What is the future of web development,3,HEGrkgpe7-Y,0.4908793
What is the future of web development,4,y5aKEyPfLKs,0.48416176
What is the future of web development,5,Fd4XR_EkDHc,0.42655653
How to use Three.js for creative coding,1,v7Butot2fHY,0.76213175
How to use Three.js for creative coding,2,PiflojewvfU,0.6771002
How to use Three.js for creative coding,3,tdsQwuyS6DQ,0.6548566
How to use Three.js for creative coding,4,ehkDsePv3W8,0.6481638
How to use Three.js for creative coding,5,yhtdkuw9mbM,0.6470371
Beginner guide to JavaScript frameworks,1,KOutPbKc9UM,0.60413826
Beginner guide to JavaScript frameworks,2,c6IyCwAV6BY,0.58732194
Beginner guide to JavaScript frameworks,3,21_I-12f5JE,0.567211
Beginner guide to JavaScript frameworks,4,BiA08jfr4RU,0.5667983
Beginner guide to JavaScript frameworks,5,xJjxQjZTryI,0.55464983
How to build projects with React step by step,1,cw02dMpWStI,0.52670974
How to build projects with React step by step,2,xJjxQjZTryI,0.3949722
How to build projects with React step by step,3,7lEWtEG3vd0,0.38862354
How to build projects with React step by step,4,v7Butot2fHY,0.3868933
How to build projects with React step by step,5,keTcXT145CI,0.37488163
What skills do software developers need today,1,ekXUXu7Eejs,0.59749275
What skills do software developers need today,2,uWRdzJTpcpI,0.56420964
What skills do software developers need today,3,gpm1hRv6WL8,0.53494585
What skills do software developers need today,4,MdEexYakkHw,0.51388234
What skills do software developers need today,5,vc5T3VmCar0,0.50896907
How to learn full stack development efficiently,1,voPcxCFMbbM,0.47564706
How to learn full stack development efficiently,2,cfOI7PBhkWk,0.46038353
How to learn full stack development efficiently,3,q4Ovbh3tpU0,0.45645416
How to learn full stack development efficiently,4,66hDgWottdA,0.44853425
How to learn full stack development efficiently,5,cjam-BWAaL8,0.4466328
Tips for mastering Python programming,1,UsfpzxZNsPo,0.61471134
Tips for mastering Python programming,2,cjam-BWAaL8,0.49683592
Tips for mastering Python programming,3,GAZkxw6DJJE,0.4929034
Tips for mastering Python programming,4,kb_scuDUHls,0.46892804
Tips for mastering Python programming,5,66hDgWottdA,0.46600765
What is the best programming language to learn first,1,xtGThMTO9rI,0.49921215
What is the best programming language to learn first,2,g_3IKHG-rfA,0.46883366
What is the best programming language to learn first,3,LsY7U2Muau8,0.46691823
What is the best programming language to learn first,4,MZVyASCY8sQ,0.45372397
What is the best programming language to learn first,5,ZK6XWSCCgPQ,0.44648898
How to improve problem solving in coding,1,OGRyln02De4,0.5693004
How to improve problem solving in coding,2,xJjxQjZTryI,0.5320798
How to improve problem solving in coding,3,o54etZM-DrY,0.46762055
