query,rank,video_id,score
How to get started with coding for beginners,1,H6gHXV6OgFU,0.5210204
How to get started with coding for beginners,2,xJjxQjZTryI,0.51827145
How to get started with coding for beginners,3,voPcxCFMbbM,0.5174234
How to get started with coding for beginners,4,lw1vTtFyfgg,0.47149107
How to get started with coding for beginners,5,ekXUXu7Eejs,0.47020018
Best way to learn programming in 2025,1,Fi8vnYgMiHA,0.6215352
Best way to learn programming in 2025,2,gmuTjeQUbTM,0.5823147
Best way to learn programming in 2025,3,q4Ovbh3tpU0,0.5436476
Best way to learn programming in 2025,4,g_3IKHG-rfA,0.5231634
Best way to learn programming in 2025,5,xMrOFhk6Rng,0.48642722
What is the future of web development,1,BiA08jfr4RU,0.47014824
What is the future of web development,2,uWRdzJTpcpI,0.45947778
What is the future of web development,3,HEGrkgpe7-Y,0.43694633
What is the future of web development,4,y5aKEyPfLKs,0.4255213
What is the future of web development,5,Fi8vnYgMiHA,0.3797938
How to use Three.js for creative coding,1,v7Butot2fHY,0.71361685
How to use Three.js for creative coding,2,ehkDsePv3W8,0.6092602
How to use Three.js for creative coding,3,TnBI8_6tmKg,0.6063605
How to use Three.js for creative coding,4,tdsQwuyS6DQ,0.60572386
How to use Three.js for creative coding,5,yhtdkuw9mbM,0.6046509
Beginner guide to JavaScript frameworks,1,KOutPbKc9UM,0.5554688
Beginner guide to JavaScript frameworks,2,21_I-12f5JE,0.5411569
Beginner guide to JavaScript frameworks,3,Kt2E8nblvXU,0.5140727
Beginner guide to JavaScript frameworks,4,BiA08jfr4RU,0.5034061
Beginner guide to JavaScript frameworks,5,c6IyCwAV6BY,0.5019942
How to build projects with React step by step,1,cw02dMpWStI,0.45024902
How to build projects with React step by step,2,v7Butot2fHY,0.3622649
How to build projects with React step by step,3,21_I-12f5JE,0.354482
How to build projects with React step by step,4,xJjxQjZTryI,0.34750593
How to build projects with React step by step,5,keTcXT145CI,0.34526557
What skills do software developers need today,1,ekXUXu7Eejs,0.5407471
What skills do software developers need today,2,uWRdzJTpcpI,0.482044
What skills do software developers need today,3,vc5T3VmCar0,0.47844422
What skills do software developers need today,4,gpm1hRv6WL8,0.46716666
What skills do software developers need today,5,MdEexYakkHw,0.45989263
How to learn full stack development efficiently,1,voPcxCFMbbM,0.42397913
How to learn full stack development efficiently,2,q4Ovbh3tpU0,0.41732037
How to learn full stack development efficiently,3,66hDgWottdA,0.4082877
How to learn full stack development efficiently,4,mrRfPVm9nAY,0.39379427
How to learn full stack development efficiently,5,xJjxQjZTryI,0.38796324
Tips for mastering Python programming,1,UsfpzxZNsPo,0.57124627
Tips for mastering Python programming,2,kb_scuDUHls,0.42909497
Tips for mastering Python programming,3,66hDgWottdA,0.42419314
Tips for mastering Python programming,4,bB5eA7vU9W8,0.407705
Tips for mastering Python programming,5,cjam-BWAaL8,0.40749866
What is the best programming language to learn first,1,g_3IKHG-rfA,0.43252113
What is the best programming language to learn first,2,LsY7U2Muau8,0.43241698
What is the best programming language to learn first,3,xtGThMTO9rI,0.42680293
What is the best programming language to learn first,4,MZVyASCY8sQ,0.4118915
What is the best programming language to learn first,5,66hDgWottdA,0.40556154
How to improve problem solving in coding,1,OGRyln02De4,0.48251972
How to improve problem solving in coding,2,xJjxQjZTryI,0.4681365
How to improve problem solving in coding,3,66hDgWottdA,0.41263112
How to improve problem solving in coding,4,MZVyASCY8sQ,0.41196662
How to improve problem solving in coding,5,o54etZM-DrY,0.3954077
Real world applications of machine learning,1,aokdrllzkFQ,0.3426656
Real world applications of machine learning,2,tchN4xa4pfg,0.33739716
Real world applications of machine learning,3,MZVyASCY8sQ,0.31379545
Real world applications of machine learning,4,tVskbekONlw,0.3123911
Real world applications of machine learning,5,R8h_gpSpEVU,0.3119525
How AI is changing software development,1,MdEexYakkHw,0.63255054
How AI is changing software development,2,aokdrllzkFQ,0.56739414
How AI is changing software development,3,lIghF_OewYg,0.46932656
How AI is changing software development,4,MZVyASCY8sQ,0.46473396
How AI is changing software development,5,vc5T3VmCar0,0.4604821
Beginner guide to APIs and how they work,1,UsfpzxZNsPo,0.49026543
Beginner guide to APIs and how they work,2,KOutPbKc9UM,0.4799156
