query,rank,video_id,score
How to get started with coding for beginners,1,lw1vTtFyfgg,-0.8587131405318821
How to get started with coding for beginners,2,xJjxQjZTryI,-0.8588053625295506
How to get started with coding for beginners,3,voPcxCFMbbM,-0.8716075022560703
How to get started with coding for beginners,4,H6gHXV6OgFU,-0.8912455235900123
How to get started with coding for beginners,5,HihwnUepmdg,-0.9106303628486788
Best way to learn programming in 2025,1,Fi8vnYgMiHA,-0.7567390052354397
Best way to learn programming in 2025,2,gmuTjeQUbTM,-0.7945837665125645
Best way to learn programming in 2025,3,ZK6XWSCCgPQ,-0.8580362080492735
Best way to learn programming in 2025,4,q4Ovbh3tpU0,-0.865208987287545
Best way to learn programming in 2025,5,g_3IKHG-rfA,-0.8970877441642234
What is the future of web development,1,uWRdzJTpcpI,-0.900551537500366
What is the future of web development,2,BiA08jfr4RU,-0.9211553017233708
What is the future of web development,3,HEGrkgpe7-Y,-0.9583520188247246
What is the future of web development,4,y5aKEyPfLKs,-0.9598914731917025
What is the future of web development,5,Fd4XR_EkDHc,-0.9968554420959702
How to use Three.js for creative coding,1,v7Butot2fHY,-0.6704511356686282
How to use Three.js for creative coding,2,PiflojewvfU,-0.7643567121804885
How to use Three.js for creative coding,3,tdsQwuyS6DQ,-0.802574183999591
How to use Three.js for creative coding,4,yhtdkuw9mbM,-0.8148456807242859
How to use Three.js for creative coding,5,ehkDsePv3W8,-0.8154994937889977
Beginner guide to JavaScript frameworks,1,c6IyCwAV6BY,-0.8523811613655422
Beginner guide to JavaScript frameworks,2,KOutPbKc9UM,-0.8569901405909485
Beginner guide to JavaScript frameworks,3,BiA08jfr4RU,-0.8843140601495386
Beginner guide to JavaScript frameworks,4,xJjxQjZTryI,-0.893365244483541
Beginner guide to JavaScript frameworks,5,21_I-12f5JE,-0.909905933771416
How to build projects with React step by step,1,cw02dMpWStI,-0.9111760835742675
How to build projects with React step by step,2,7lEWtEG3vd0,-1.0112510490505662
How to build projects with React step by step,3,xJjxQjZTryI,-1.038786670917624
How to build projects with React step by step,4,v7Butot2fHY,-1.0734097361874855
How to build projects with React step by step,5,keTcXT145CI,-1.075968441180741
What skills do software developers need today,1,ekXUXu7Eejs,-0.8588247910580386
What skills do software developers need today,2,uWRdzJTpcpI,-0.8751346937022605
What skills do software developers need today,3,gpm1hRv6WL8,-0.9101179324295624
What skills do software developers need today,4,MdEexYakkHw,-0.9386842099727588
What skills do software developers need today,5,vc5T3VmCar0,-0.9626840619876239
How to learn full stack development efficiently,1,cfOI7PBhkWk,-0.9597316598151309
How to learn full stack development efficiently,2,cjam-BWAaL8,-0.9695683486149286
How to learn full stack development efficiently,3,GAZkxw6DJJE,-0.9713761057116725
How to learn full stack development efficiently,4,voPcxCFMbbM,-0.9729275546115509
How to learn full stack development efficiently,5,xJjxQjZTryI,-0.9990810982376639
Tips for mastering Python programming,1,UsfpzxZNsPo,-0.8491709669054652
Tips for mastering Python programming,2,cjam-BWAaL8,-0.9261267901710842
Tips for mastering Python programming,3,GAZkxw6DJJE,-0.9300185114928414
Tips for mastering Python programming,4,ZK6XWSCCgPQ,-0.9770416203245237
Tips for mastering Python programming,5,OGRyln02De4,-0.9828916445179561
What is the best programming language to learn first,1,xtGThMTO9rI,-0.9366637439324255
What is the best programming language to learn first,2,ZK6XWSCCgPQ,-0.9719150372549751
What is the best programming language to learn first,3,lw1vTtFyfgg,-0.9758730531270307
What is the best programming language to learn first,4,g_3IKHG-rfA,-0.9930009878418947
What is the best programming language to learn first,5,LsY7U2Muau8,-0.9964152997885519
How to improve problem solving in coding,1,OGRyln02De4,-0.8679450913601094
How to improve problem solving in coding,2,xJjxQjZTryI,-0.91532324108097
How to improve problem solving in coding,3,o54etZM-DrY,-0.9613426408692245
How to improve problem solving in coding,4,7ysrM5BMe6Q,-0.9856945355887176
How to improve problem solving in coding,5,pdleuy5lljY,-0.9965419233549219
Real world applications of machine learning,1,tchN4xa4pfg,-1.048932425564176
Real world applications of machine learning,2,zkJt9y7ixiY,-1.0513101670563365
Real world applications of machine learning,3,aokdrllzkFQ,-1.062283150981455
Real world applications of machine learning,4,R8h_gpSpEVU,-1.0826562099502777
Real world applications of machine learning,5,MdEexYakkHw,-1.085710396852527
How AI is changing software development,1,MdEexYakkHw,-0.7319916897812278
How AI is changing software development,2,aokdrllzkFQ,-0.824007480265603
How AI is changing software development,3,lIghF_OewYg,-0.8798928346494242
How AI is changing software development,4,2yF62QE59G8,-0.9094595475225922
How AI is changing software development,5,suuDVhYXe5Y,-0.9118753850248009
Beginner guide to APIs and how they work,1,UsfpzxZNsPo,-0.9397089960151708
Beginner guide to APIs and how they work,2,KOutPbKc9UM,-0.9410305772397775
Beginner guide to APIs and how they work,3,WSsOXo07LeE,-0.9529129433668913
Beginner guide to APIs and how they work,4,xJjxQjZTryI,-1.0071476657546283
Beginner guide to APIs and how they work,5,Q7P20fHJlm4,-1.014978853177756
How to use REST APIs in projects,1,7lEWtEG3vd0,-1.0892567292073982
How to use REST APIs in projects,2,cw02dMpWStI,-1.0900955162298462
How to use REST APIs in projects,3,KOutPbKc9UM,-1.105641846106845
How to use REST APIs in projects,4,ll1mpTJ4qBU,-1.1143429557008038
How to use REST APIs in projects,5,WSsOXo07LeE,-1.1437866424776002
Best practices for writing clean code,1,626BcUO84og,-0.9283398632092218
Best practices for writing clean code,2,OGRyln02De4,-0.9916298987692279
Best practices for writing clean code,3,ldkfMvE36FI,-1.047679657346864
Best practices for writing clean code,4,H3i9DGnMxWQ,-1.0754804261565696
Best practices for writing clean code,5,7yruIW4NvEQ,-1.0899305535402741
How to debug code effectively,1,OGRyln02De4,-0.8440002668703387
How to debug code effectively,2,ll1mpTJ4qBU,-0.9520629622142832
How to debug code effectively,3,DIRnYM2dOs0,-0.9592935211230552
How to debug code effectively,4,ldkfMvE36FI,-0.9953218617556584
How to debug code effectively,5,iMLGy2wEE_g,-1.0364072981841699
Tips for learning data structures and algorithms,1,mrRfPVm9nAY,-0.7520499587307379
Tips for learning data structures and algorithms,2,xwI5OBEnsZU,-0.9883592514068411
Tips for learning data structures and algorithms,3,MZVyASCY8sQ,-1.020385715761097
Tips for learning data structures and algorithms,4,26ls5lNiijk,-1.0530494165054685
Tips for learning data structures and algorithms,5,xJjxQjZTryI,-1.0604866750762774
How to prepare for coding interviews,1,BrBMM2gIQN8,-0.7644842463138984
How to prepare for coding interviews,2,ekXUXu7Eejs,-0.9048536978100258
How to prepare for coding interviews,3,GAZkxw6DJJE,-0.9545623449708756
How to prepare for coding interviews,4,cfOI7PBhkWk,-0.9622934737672589
How to prepare for coding interviews,5,xwI5OBEnsZU,-0.9643040400763482
What is cloud computing and how to learn it,1,ZK6XWSCCgPQ,-1.01896220462452
What is cloud computing and how to learn it,2,tPeyD3ELDHw,-1.022616119114692
What is cloud computing and how to learn it,3,xHUwGx-ZlTM,-1.0352590893072602
What is cloud computing and how to learn it,4,gmuTjeQUbTM,-1.0408628908770026
What is cloud computing and how to learn it,5,tVskbekONlw,-1.047324386278097
Introduction to DevOps for beginners,1,hP931079TMw,-0.910768617025768
Introduction to DevOps for beginners,2,tVskbekONlw,-0.9292331201542889
Introduction to DevOps for beginners,3,cfOI7PBhkWk,-0.9564101271151569
Introduction to DevOps for beginners,4,rgt5GPFgryI,-0.9576095499951736
Introduction to DevOps for beginners,5,4T3YlTSWa5s,-0.9660693678133592
How to deploy a web application,1,lEcULR30-GM,-1.0635345452060985
