query,rank,video_id,score
How to get started with coding for beginners,1,voPcxCFMbbM,0.59109724
How to get started with coding for beginners,2,xJjxQjZTryI,0.5808296
How to get started with coding for beginners,3,HihwnUepmdg,0.54756093
How to get started with coding for beginners,4,H6gHXV6OgFU,0.547117
How to get started with coding for beginners,5,lw1vTtFyfgg,0.51975244
Best way to learn programming in 2025,1,Fi8vnYgMiHA,0.6060503
Best way to learn programming in 2025,2,g_3IKHG-rfA,0.54976374
Best way to learn programming in 2025,3,voPcxCFMbbM,0.52519196
Best way to learn programming in 2025,4,q4Ovbh3tpU0,0.5211586
Best way to learn programming in 2025,5,gmuTjeQUbTM,0.513442
What is the future of web development,1,uWRdzJTpcpI,0.56473255
What is the future of web development,2,BiA08jfr4RU,0.48135698
What is the future of web development,3,yhtdkuw9mbM,0.43565145
What is the future of web development,4,et7u_tnlS0Q,0.42793202
What is the future of web development,5,HEGrkgpe7-Y,0.41578162
How to use Three.js for creative coding,1,v7Butot2fHY,0.7713915
How to use Three.js for creative coding,2,tdsQwuyS6DQ,0.6639014
How to use Three.js for creative coding,3,TnBI8_6tmKg,0.6336571
How to use Three.js for creative coding,4,PiflojewvfU,0.6190893
How to use Three.js for creative coding,5,ehkDsePv3W8,0.6138544
Beginner guide to JavaScript frameworks,1,BiA08jfr4RU,0.64875257
Beginner guide to JavaScript frameworks,2,c6IyCwAV6BY,0.6177528
Beginner guide to JavaScript frameworks,3,KOutPbKc9UM,0.6046702
Beginner guide to JavaScript frameworks,4,tdsQwuyS6DQ,0.5725268
Beginner guide to JavaScript frameworks,5,xJjxQjZTryI,0.5624188
How to build projects with React step by step,1,cw02dMpWStI,0.53289497
How to build projects with React step by step,2,keTcXT145CI,0.42873177
How to build projects with React step by step,3,xJjxQjZTryI,0.40848872
How to build projects with React step by step,4,D5F8kp_azzw,0.4067704
How to build projects with React step by step,5,7lEWtEG3vd0,0.39742482
What skills do software developers need today,1,gpm1hRv6WL8,0.5837005
What skills do software developers need today,2,ekXUXu7Eejs,0.56023276
What skills do software developers need today,3,uWRdzJTpcpI,0.51315725
What skills do software developers need today,4,q4Ovbh3tpU0,0.5012564
What skills do software developers need today,5,7ysrM5BMe6Q,0.4772644
How to learn full stack development efficiently,1,q4Ovbh3tpU0,0.49389255
How to learn full stack development efficiently,2,GAZkxw6DJJE,0.47590148
How to learn full stack development efficiently,3,bB5eA7vU9W8,0.4724928
How to learn full stack development efficiently,4,VgBQ0yBSjfM,0.47112638
How to learn full stack development efficiently,5,CcrC5zSv1iA,0.46358305
Tips for mastering Python programming,1,UsfpzxZNsPo,0.5366137
Tips for mastering Python programming,2,kb_scuDUHls,0.5171087
Tips for mastering Python programming,3,q4Ovbh3tpU0,0.45943794
Tips for mastering Python programming,4,GAZkxw6DJJE,0.44947463
Tips for mastering Python programming,5,o54etZM-DrY,0.4452039
What is the best programming language to learn first,1,LsY7U2Muau8,0.48773646
What is the best programming language to learn first,2,g_3IKHG-rfA,0.4587704
What is the best programming language to learn first,3,xtGThMTO9rI,0.45100883
What is the best programming language to learn first,4,voPcxCFMbbM,0.39939496
What is the best programming language to learn first,5,lw1vTtFyfgg,0.3835774
How to improve problem solving in coding,1,xJjxQjZTryI,0.519069
How to improve problem solving in coding,2,OGRyln02De4,0.51876724
How to improve problem solving in coding,3,o54etZM-DrY,0.4393719
How to improve problem solving in coding,4,7ysrM5BMe6Q,0.42434436
How to improve problem solving in coding,5,MZVyASCY8sQ,0.385473
Real world applications of machine learning,1,tVskbekONlw,0.50559413
Real world applications of machine learning,2,tchN4xa4pfg,0.49831825
Real world applications of machine learning,3,zkJt9y7ixiY,0.45870543
Real world applications of machine learning,4,MdEexYakkHw,0.45814824
Real world applications of machine learning,5,_4uQI4ihGVU,0.45497447
How AI is changing software development,1,MdEexYakkHw,0.6707968
How AI is changing software development,2,MZVyASCY8sQ,0.60452175
How AI is changing software development,3,aokdrllzkFQ,0.6035942
How AI is changing software development,4,2yF62QE59G8,0.58607596
How AI is changing software development,5,suuDVhYXe5Y,0.546435
Beginner guide to APIs and how they work,1,WSsOXo07LeE,0.5091179
Beginner guide to APIs and how they work,2,UsfpzxZNsPo,0.4844045
Beginner guide to APIs and how they work,3,KOutPbKc9UM,0.45789927
Beginner guide to APIs and how they work,4,Kt2E8nblvXU,0.4428794
Beginner guide to APIs and how they work,5,wu8npoU37cI,0.40161264
How to use REST APIs in projects,1,7lEWtEG3vd0,0.3378054
How to use REST APIs in projects,2,cw02dMpWStI,0.3062582
How to use REST APIs in projects,3,WSsOXo07LeE,0.29010794
How to use REST APIs in projects,4,KOutPbKc9UM,0.27977383
How to use REST APIs in projects,5,ll1mpTJ4qBU,0.27896845
Best practices for writing clean code,1,626BcUO84og,0.5203749
Best practices for writing clean code,2,OGRyln02De4,0.41810155
Best practices for writing clean code,3,7ysrM5BMe6Q,0.3247253
Best practices for writing clean code,4,ekXUXu7Eejs,0.29992127
Best practices for writing clean code,5,xJjxQjZTryI,0.2952467
How to debug code effectively,1,OGRyln02De4,0.52362156
How to debug code effectively,2,ll1mpTJ4qBU,0.45795077
How to debug code effectively,3,DIRnYM2dOs0,0.44448426
How to debug code effectively,4,ldkfMvE36FI,0.4111304
How to debug code effectively,5,s950xhRvqYQ,0.35730594
Tips for learning data structures and algorithms,1,mrRfPVm9nAY,0.69467914
Tips for learning data structures and algorithms,2,26ls5lNiijk,0.49410307
Tips for learning data structures and algorithms,3,xJjxQjZTryI,0.47145993
Tips for learning data structures and algorithms,4,xwI5OBEnsZU,0.46697146
Tips for learning data structures and algorithms,5,MZVyASCY8sQ,0.46622854
How to prepare for coding interviews,1,BrBMM2gIQN8,0.73858404
How to prepare for coding interviews,2,ekXUXu7Eejs,0.54825354
How to prepare for coding interviews,3,HihwnUepmdg,0.4779563
How to prepare for coding interviews,4,xwI5OBEnsZU,0.47438842
How to prepare for coding interviews,5,H6gHXV6OgFU,0.45138553
What is cloud computing and how to learn it,1,xHUwGx-ZlTM,0.48565277
What is cloud computing and how to learn it,2,tVskbekONlw,0.47257847
What is cloud computing and how to learn it,3,_4uQI4ihGVU,0.45807886
What is cloud computing and how to learn it,4,gmuTjeQUbTM,0.3883704
What is cloud computing and how to learn it,5,bB5eA7vU9W8,0.3743838
Introduction to DevOps for beginners,1,tVskbekONlw,0.48375803
Introduction to DevOps for beginners,2,bB5eA7vU9W8,0.48047236
Introduction to DevOps for beginners,3,4T3YlTSWa5s,0.47661287
Introduction to DevOps for beginners,4,s950xhRvqYQ,0.4687966
Introduction to DevOps for beginners,5,voPcxCFMbbM,0.46414444
How to deploy a web application,1,ldkfMvE36FI,0.33022112
How to deploy a web application,2,KOutPbKc9UM,0.32718652
How to deploy a web application,3,yhtdkuw9mbM,0.30658084
How to deploy a web application,4,BiA08jfr4RU,0.29940623
How to deploy a web application,5,v7Butot2fHY,0.2792262
What is Docker and how to use it,1,lEcULR30-GM,0.49752927
What is Docker and how to use it,2,voPcxCFMbbM,0.27284443
What is Docker and how to use it,3,n1sfrc-RjyM,0.27017027
What is Docker and how to use it,4,KOutPbKc9UM,0.25331378
What is Docker and how to use it,5,cjam-BWAaL8,0.24998187
How to build scalable applications,1,21_I-12f5JE,0.42669386
How to build scalable applications,2,BMt-qvrEcFY,0.39179397
How to build scalable applications,3,VplSjvnwG_Y,0.3885256
How to build scalable applications,4,7lEWtEG3vd0,0.38510644
How to build scalable applications,5,GAZkxw6DJJE,0.377791
Best resources to learn programming for free,1,voPcxCFMbbM,0.6039285
Best resources to learn programming for free,2,lw1vTtFyfgg,0.5712774
Best resources to learn programming for free,3,ZK6XWSCCgPQ,0.48915255
Best resources to learn programming for free,4,VgBQ0yBSjfM,0.46679944
Best resources to learn programming for free,5,EO8QoyRSVaw,0.45616835
How to stay motivated while learning to code,1,q4Ovbh3tpU0,0.5965744
How to stay motivated while learning to code,2,oRZouQxC5Gw,0.5526684
How to stay motivated while learning to code,3,o54etZM-DrY,0.53571016
How to stay motivated while learning to code,4,H6gHXV6OgFU,0.5316578
How to stay motivated while learning to code,5,7ysrM5BMe6Q,0.5114703
What are the latest trends in tech careers,1,gpm1hRv6WL8,0.3696335
What are the latest trends in tech careers,2,FHBBaSUQk1Y,0.36955076
What are the latest trends in tech careers,3,vK30T6wKauA,0.36216354
What are the latest trends in tech careers,4,56Hv0LDjtWM,0.35983336
What are the latest trends in tech careers,5,tVf_5pvz5ck,0.35478538
How to transition into a tech career,1,9tyZL5KIiGU,0.51267684
How to transition into a tech career,2,tVf_5pvz5ck,0.49747825
How to transition into a tech career,3,l2Z9f42HGpY,0.47806662
How to transition into a tech career,4,H6gHXV6OgFU,0.46891388
How to transition into a tech career,5,gpm1hRv6WL8,0.44545287
Beginner guide to cybersecurity,1,ug8W0sFiVJo,0.71081644
Beginner guide to cybersecurity,2,wck2LmaMaB4,0.7042449
Beginner guide to cybersecurity,3,9HOpanT0GRs,0.69986916
Beginner guide to cybersecurity,4,kb_scuDUHls,0.48264098
Beginner guide to cybersecurity,5,fQbBPa0ADvs,0.44877565
What is blockchain and how does it work,1,c6IyCwAV6BY,0.31511164
What is blockchain and how does it work,2,UtV8MfnuIEg,0.2999686
What is blockchain and how does it work,3,GIZzRGYpCbM,0.28051344
What is blockchain and how does it work,4,KOutPbKc9UM,0.2694715
What is blockchain and how does it work,5,OGRyln02De4,0.2544343
How to build mobile apps with JavaScript,1,HEGrkgpe7-Y,0.5310596
How to build mobile apps with JavaScript,2,Fd4XR_EkDHc,0.44180447
How to build mobile apps with JavaScript,3,v7Butot2fHY,0.43553752
How to build mobile apps with JavaScript,4,y5aKEyPfLKs,0.4315584
How to build mobile apps with JavaScript,5,21_I-12f5JE,0.42526716
What is TypeScript and why use it,1,E2oyLZVBcQw,0.4440266
What is TypeScript and why use it,2,QgZoz4xFfLE,0.40530992
What is TypeScript and why use it,3,ja4OAzPLuM8,0.39217043
What is TypeScript and why use it,4,yhTipwdwe9w,0.39142716
What is TypeScript and why use it,5,Fd4XR_EkDHc,0.38323563
How to optimize website performance,1,VplSjvnwG_Y,0.48660102
How to optimize website performance,2,b_6KoSdgHiA,0.4070701
How to optimize website performance,3,8Si7eCfEpB0,0.40606368
How to optimize website performance,4,keTcXT145CI,0.35635737
How to optimize website performance,5,7G9q_5q82hY,0.34167886
What is responsive web design,1,nbsz6muQRT4,0.45557
What is responsive web design,2,8Si7eCfEpB0,0.43006003
What is responsive web design,3,BiA08jfr4RU,0.40058047
What is responsive web design,4,uWRdzJTpcpI,0.38958067
What is responsive web design,5,baYjd4pFjlw,0.37279865
How to create interactive web experiences,1,yhtdkuw9mbM,0.48984253
How to create interactive web experiences,2,tdsQwuyS6DQ,0.4649969
How to create interactive web experiences,3,KOutPbKc9UM,0.45726094
How to create interactive web experiences,4,QpGTmAoEINA,0.41967428
How to create interactive web experiences,5,66hDgWottdA,0.39286897
How to work with animations in web development,1,66hDgWottdA,0.54337806
How to work with animations in web development,2,yhtdkuw9mbM,0.4570257
How to work with animations in web development,3,tdsQwuyS6DQ,0.42143333
How to work with animations in web development,4,uWRdzJTpcpI,0.42104995
How to work with animations in web development,5,BiA08jfr4RU,0.41827372
Tips for UI/UX design for developers,1,GAZkxw6DJJE,0.47708824
Tips for UI/UX design for developers,2,BiA08jfr4RU,0.47631007
Tips for UI/UX design for developers,3,xJjxQjZTryI,0.46571735
Tips for UI/UX design for developers,4,OGRyln02De4,0.46199325
Tips for UI/UX design for developers,5,7ysrM5BMe6Q,0.4556839
How to use Git and GitHub effectively,1,mAFoROnOfHs,0.75089467
How to use Git and GitHub effectively,2,ZldNCx4AvEM,0.6535981
How to use Git and GitHub effectively,3,voPcxCFMbbM,0.41678697
How to use Git and GitHub effectively,4,CcQwCGUdRmw,0.38409534
How to use Git and GitHub effectively,5,cw02dMpWStI,0.38066673
What is open source and how to contribute,1,FHBBaSUQk1Y,0.7933599
What is open source and how to contribute,2,4RGkpzTJjfg,0.6757469
What is open source and how to contribute,3,c1Op7YSTwhg,0.65633464
What is open source and how to contribute,4,7lEWtEG3vd0,0.6151127
What is open source and how to contribute,5,HihwnUepmdg,0.578142
How to collaborate on coding projects,1,HihwnUepmdg,0.4938262
How to collaborate on coding projects,2,voPcxCFMbbM,0.49037588
How to collaborate on coding projects,3,cw02dMpWStI,0.46351057
How to collaborate on coding projects,4,7lEWtEG3vd0,0.46203747
How to collaborate on coding projects,5,GAZkxw6DJJE,0.44264475
What is test-driven development,1,jydYq7oAtD8,0.43787447
What is test-driven development,2,Yygu7TBWdPs,0.3910975
What is test-driven development,3,s950xhRvqYQ,0.38661176
What is test-driven development,4,7yruIW4NvEQ,0.3748346
What is test-driven development,5,VgBQ0yBSjfM,0.3423298
How to write unit tests for your code,1,Yygu7TBWdPs,0.42386258
How to write unit tests for your code,2,626BcUO84og,0.339656
