query,rank,video_id,score
How to get started with coding for beginners,1,xJjxQjZTryI,0.522617
How to get started with coding for beginners,2,voPcxCFMbbM,0.51170415
How to get started with coding for beginners,3,H6gHXV6OgFU,0.5030604
How to get started with coding for beginners,4,ekXUXu7Eejs,0.46218076
How to get started with coding for beginners,5,HihwnUepmdg,0.45623797
Best way to learn programming in 2025,1,Fi8vnYgMiHA,0.55352974
Best way to learn programming in 2025,2,g_3IKHG-rfA,0.49244976
Best way to learn programming in 2025,3,q4Ovbh3tpU0,0.45583656
Best way to learn programming in 2025,4,gmuTjeQUbTM,0.45478523
Best way to learn programming in 2025,5,voPcxCFMbbM,0.45465106
What is the future of web development,1,uWRdzJTpcpI,0.4977429
What is the future of web development,2,BiA08jfr4RU,0.42798704
What is the future of web development,3,et7u_tnlS0Q,0.41232264
What is the future of web development,4,yhtdkuw9mbM,0.40196407
What is the future of web development,5,8Si7eCfEpB0,0.36922368
How to use Three.js for creative coding,1,v7Butot2fHY,0.721146
How to use Three.js for creative coding,2,tdsQwuyS6DQ,0.6043341
How to use Three.js for creative coding,3,TnBI8_6tmKg,0.585029
How to use Three.js for creative coding,4,ehkDsePv3W8,0.5736961
How to use Three.js for creative coding,5,yhtdkuw9mbM,0.5404159
Beginner guide to JavaScript frameworks,1,BiA08jfr4RU,0.5768229
Beginner guide to JavaScript frameworks,2,c6IyCwAV6BY,0.5558646
Beginner guide to JavaScript frameworks,3,tdsQwuyS6DQ,0.5211579
Beginner guide to JavaScript frameworks,4,KOutPbKc9UM,0.5077637
Beginner guide to JavaScript frameworks,5,xJjxQjZTryI,0.5060513
How to build projects with React step by step,1,cw02dMpWStI,0.4385695
How to build projects with React step by step,2,keTcXT145CI,0.39028972
How to build projects with React step by step,3,D5F8kp_azzw,0.37006068
How to build projects with React step by step,4,xJjxQjZTryI,0.36754867
How to build projects with React step by step,5,2Kw3e-1vbBQ,0.34476733
What skills do software developers need today,1,ekXUXu7Eejs,0.5148318
What skills do software developers need today,2,gpm1hRv6WL8,0.507051
What skills do software developers need today,3,uWRdzJTpcpI,0.4522856
What skills do software developers need today,4,H_3sWUR9v7A,0.449404
What skills do software developers need today,5,q4Ovbh3tpU0,0.4384289
How to learn full stack development efficiently,1,bB5eA7vU9W8,0.4349296
How to learn full stack development efficiently,2,q4Ovbh3tpU0,0.43198797
How to learn full stack development efficiently,3,D5F8kp_azzw,0.4152954
How to learn full stack development efficiently,4,xJjxQjZTryI,0.41455305
How to learn full stack development efficiently,5,MZVyASCY8sQ,0.40665126
Tips for mastering Python programming,1,UsfpzxZNsPo,0.49046728
Tips for mastering Python programming,2,kb_scuDUHls,0.4712565
Tips for mastering Python programming,3,q4Ovbh3tpU0,0.40185198
Tips for mastering Python programming,4,bB5eA7vU9W8,0.398663
Tips for mastering Python programming,5,o54etZM-DrY,0.38816872
What is the best programming language to learn first,1,LsY7U2Muau8,0.44393113
What is the best programming language to learn first,2,g_3IKHG-rfA,0.41094264
What is the best programming language to learn first,3,xtGThMTO9rI,0.3947084
What is the best programming language to learn first,4,voPcxCFMbbM,0.3457504
What is the best programming language to learn first,5,Fi8vnYgMiHA,0.33503664
