query,rank,video_id,score
How to get started with coding for beginners,1,voPcxCFMbbM,-0.8520581577814266
How to get started with coding for beginners,2,xJjxQjZTryI,-0.874279366478687
How to get started with coding for beginners,3,HihwnUepmdg,-0.8841819891681736
How to get started with coding for beginners,4,lw1vTtFyfgg,-0.9143428612325575
How to get started with coding for beginners,5,H6gHXV6OgFU,-0.916140425813471
Best way to learn programming in 2025,1,Fi8vnYgMiHA,-0.8527190436598525
Best way to learn programming in 2025,2,g_3IKHG-rfA,-0.9041376879368241
Best way to learn programming in 2025,3,voPcxCFMbbM,-0.9165747700876111
Best way to learn programming in 2025,4,q4Ovbh3tpU0,-0.9237730592168878
Best way to learn programming in 2025,5,gmuTjeQUbTM,-0.9354123959720162
What is the future of web development,1,uWRdzJTpcpI,-0.8839352543645637
What is the future of web development,2,BiA08jfr4RU,-0.9667322970235078
What is the future of web development,3,HEGrkgpe7-Y,-1.0163224514911273
What is the future of web development,4,56Hv0LDjtWM,-1.0212270293954924
What is the future of web development,5,yhtdkuw9mbM,-1.0234247844138344
How to use Three.js for creative coding,1,v7Butot2fHY,-0.6570223859391012
How to use Three.js for creative coding,2,tdsQwuyS6DQ,-0.787360015349526
How to use Three.js for creative coding,3,PiflojewvfU,-0.8246249909785901
How to use Three.js for creative coding,4,TnBI8_6tmKg,-0.8260433709740683
How to use Three.js for creative coding,5,ehkDsePv3W8,-0.852084485340794
Beginner guide to JavaScript frameworks,1,BiA08jfr4RU,-0.7980600333510551
Beginner guide to JavaScript frameworks,2,KOutPbKc9UM,-0.8304396402235255
Beginner guide to JavaScript frameworks,3,c6IyCwAV6BY,-0.8354291316195829
Beginner guide to JavaScript frameworks,4,tdsQwuyS6DQ,-0.8867289171971527
Beginner guide to JavaScript frameworks,5,xJjxQjZTryI,-0.8930260547745749
How to build projects with React step by step,1,cw02dMpWStI,-0.8945282117701472
How to build projects with React step by step,2,7lEWtEG3vd0,-0.999193957151085
How to build projects with React step by step,3,keTcXT145CI,-1.0237827381962914
How to build projects with React step by step,4,xJjxQjZTryI,-1.036581358530627
How to build projects with React step by step,5,D5F8kp_azzw,-1.0428466641327756
What skills do software developers need today,1,gpm1hRv6WL8,-0.860528377300169
What skills do software developers need today,2,ekXUXu7Eejs,-0.9026766802961588
What skills do software developers need today,3,uWRdzJTpcpI,-0.9339466894269848
What skills do software developers need today,4,q4Ovbh3tpU0,-0.9424288351965743
What skills do software developers need today,5,7ysrM5BMe6Q,-0.9549830194616307
How to learn full stack development efficiently,1,GAZkxw6DJJE,-0.9347041487770733
How to learn full stack development efficiently,2,q4Ovbh3tpU0,-0.9492385452420709
How to learn full stack development efficiently,3,VgBQ0yBSjfM,-0.9620762405083754
How to learn full stack development efficiently,4,s950xhRvqYQ,-0.9621949479230201
How to learn full stack development efficiently,5,4T3YlTSWa5s,-0.964915065714168
Tips for mastering Python programming,1,UsfpzxZNsPo,-0.9243752894962591
Tips for mastering Python programming,2,kb_scuDUHls,-0.942342195546438
Tips for mastering Python programming,3,GAZkxw6DJJE,-0.9568447034539121
Tips for mastering Python programming,4,q4Ovbh3tpU0,-0.9804722556455552
Tips for mastering Python programming,5,o54etZM-DrY,-0.9918943859549443
What is the best programming language to learn first,1,LsY7U2Muau8,-0.9698336591619441
What is the best programming language to learn first,2,xtGThMTO9rI,-0.9881812063350849
What is the best programming language to learn first,3,g_3IKHG-rfA,-0.9901915253906363
