video_id,title,publish_date,year,month,title_length
fPopFeqw5sk,Learn NumPy data types in 8 minutes! 💱,2025-11-21,2025,11,38
81i_uSX9Vic,Useful NumPy functions you should know! 🎚️,2025-11-12,2025,11,42
k0D3MQwLn7A,Learn Python iterators in 7 minutes! ➡️,2025-11-10,2025,11,39
ZBlxaXMN_hU,Learn Python generator expressions in 9 minutes! ♻️,2025-11-07,2025,11,51
c9vhHUGdav0,Learn Matplotlib in 1 hour! 📊,2025-10-09,2025,10,29
hunq_UOdmoo,Matplotlib customization is easy! 🎨,2025-09-30,2025,9,35
OUnnuKHbmbU,DataFrames in Pandas are easy! 🔢,2025-09-04,2025,9,32
6WaBryk4fkE,Slicing in NumPy is easy! ✂️,2025-07-27,2025,7,28
mjiHc965UME,Convert decimal to hexadecimal EASY!  #coding #programming #computerscience,2025-07-20,2025,7,75
aMME_rYkoOU,Learn hexadecimal in 0x7A seconds,2025-07-16,2025,7,33
tg5Wv9Ba1lI,Learn binary in 01000000 seconds #coding #computerscience #programming,2025-07-13,2025,7,70
J6qXny_UAK4,Learn binary in 01000001 seconds,2025-07-13,2025,7,32
ZwSyuqbeN0c,Arrays of structs are easy! 🗄️,2025-04-25,2025,4,30
rUXjvybSPWc,Realloc in C explained easy! 🚢,2025-04-22,2025,4,30
eIlcl-mt3tg,Read files using C programming in 6 minutes! 📖,2025-04-12,2025,4,46
Jx12Vf0VxmY,The ternary operator is easy! ❓,2025-04-04,2025,4,31
y4siEcxgOpM,Initialize an array with user input in C ➡️,2025-03-28,2025,3,43
6Hk2aE_SRzY,Arrays in C are easy! 🗃️,2025-03-27,2025,3,24
Z5smVeUVNFU,Let&#39;s code a BANK PROGRAM with C programming! 💵,2025-03-24,2025,3,51
zdAggA1q0eo,Learn C for loops in 6 minutes! 🔂,2025-03-19,2025,3,33
NEj2H7SoTzQ,Learn function prototypes in 5 minutes! 📌,2025-03-17,2025,3,41
NtlSzRWhaOc,Switches in C are easy! 💡,2025-03-06,2025,3,25
wt194lO5kKE,Let&#39;s code a mad libs game with C programming! 📖,2025-03-02,2025,3,52
taI7G6U29L8,Learn Java multithreading in 8 minutes! 🧶,2024-12-27,2024,12,41
P_iOnmdww8E,Learn Java anonymous classes in 5 minutes! 🕵️‍♂️,2024-12-19,2024,12,48
Pg0aoSbrqOE,How to WRITE FILES with Java in 8 minutes! ✍,2024-12-12,2024,12,44
wsTSREgCE5E,Learn Java arraylists in 9 minutes! 📃,2024-12-08,2024,12,37
OjrR_C_UPjc,Learn Java getters and setters in 10 minutes! 🔐,2024-12-05,2024,12,47
hx_DRanBRRM,Learn Java METHOD OVERRIDING in 4 minutes! ♻️,2024-12-05,2024,12,45
ZD7CB6wKg8A,Learn CONSTRUCTORS in 10 minutes! 🔨,2024-12-05,2024,12,35
LN45TyPWAAg,Learn the Java super keyword in 10 minutes! 🔝,2024-12-05,2024,12,45
DYbi93vuSaU,Learn Java Object Oriented Programming in 10 minutes! 🧱,2024-12-05,2024,12,55
Qf3Nczxm2AY,Learn Java 2D arrays in 9 minutes! ⬜,2024-12-05,2024,12,36
ah5bAnGpmKY,Enter USER INPUT into an ARRAY! ➡️,2024-12-05,2024,12,34
9dr2mHYYoug,Learn Java arrays in 9 minutes! 🍎,2024-12-05,2024,12,33
iGo1Syv4YuM,Learn BREAK &amp; CONTINUE in 2 minutes! 🚦,2024-12-05,2024,12,42
nhnAx79gxCM,Learn Java overloaded methods in 6 minutes! 🍕,2024-12-05,2024,12,45
44iQGNUcik0,Java substrings are easy! 📧,2024-12-05,2024,12,27
DFhpzaEOoxs,Let&#39;s code a WEIGHT CONVERTER in Java! 🏋️,2024-12-05,2024,12,45
23VT2wh3BG4,Nested if statements are easy! 🎟️,2024-12-05,2024,12,33
IgdIfGW-cVU,Code a Java compound interest calculator in 7 minutes! 💸,2024-12-05,2024,12,56
8KCuHHeC_M0,Learn Python in 1 hour! 🐍,2024-08-18,2024,8,25
4wGuB3oAKc4,Python Projects for Beginners 🐍,2024-08-13,2024,8,31
Q4377DH5Jso,Create a weather app with Python! ☀️,2024-08-08,2024,8,36
UKs0xhxSOg0,Code a stopwatch using Python! ⏱,2024-08-02,2024,8,32
DZ3-ij_JHE0,Python PyQt5 RADIO BUTTONS are easy! 🔘,2024-07-28,2024,7,38
