Query,Rank,Video,Distance
what are programming fundamentals,1,ZK6XWSCCgPQ,0.1163
what are programming fundamentals,2,xH9ZKsTY73Y,0.1209
what are programming fundamentals,3,gmuTjeQUbTM,0.1214
what are programming fundamentals,4,o54etZM-DrY,0.1276
what are programming fundamentals,5,GAZkxw6DJJE,0.1277
how to start learning programming,1,H6gHXV6OgFU,0.1035
how to start learning programming,2,cjam-BWAaL8,0.1073
how to start learning programming,3,hM2T45qbIPI,0.1127
how to start learning programming,4,GAZkxw6DJJE,0.1173
how to start learning programming,5,gmuTjeQUbTM,0.1215
beginner coding concepts explained,1,cjam-BWAaL8,0.1157
beginner coding concepts explained,2,ry_mcAPVTOc,0.1164
beginner coding concepts explained,3,mrRfPVm9nAY,0.1176
beginner coding concepts explained,4,GAZkxw6DJJE,0.1179
beginner coding concepts explained,5,ZK6XWSCCgPQ,0.1182
basics of software development,1,LzMnsfqjzkA,0.1066
basics of software development,2,DosHnyq78xY,0.1106
basics of software development,3,cjam-BWAaL8,0.1121
basics of software development,4,u1T8yyEEKWY,0.1193
basics of software development,5,xwI5OBEnsZU,0.1196
introduction to programming logic,1,xwI5OBEnsZU,0.1192
introduction to programming logic,2,UsfpzxZNsPo,0.1283
introduction to programming logic,3,fQbBPa0ADvs,0.1289
introduction to programming logic,4,FAKgFhWX8pQ,0.1307
introduction to programming logic,5,suuDVhYXe5Y,0.1328
how computers execute code,1,MZVyASCY8sQ,0.1197
how computers execute code,2,KUbbb0T1YZ8,0.125
how computers execute code,3,Ai00MsNabaE,0.1269
how computers execute code,4,ry_mcAPVTOc,0.1306
how computers execute code,5,Q5U-b6gRTaY,0.1321
difference between compiled and interpreted languages,1,LsY7U2Muau8,0.1333
difference between compiled and interpreted languages,2,ikXDYsdg15c,0.1342
difference between compiled and interpreted languages,3,p3sij8QzONQ,0.1454
difference between compiled and interpreted languages,4,Ai00MsNabaE,0.1486
difference between compiled and interpreted languages,5,slfaeQLn1cY,0.149
how variables and loops work,1,ikXDYsdg15c,0.1281
how variables and loops work,2,kFEBs8wuhiU,0.1286
how variables and loops work,3,FAKgFhWX8pQ,0.1329
how variables and loops work,4,slfaeQLn1cY,0.135
how variables and loops work,5,oRZouQxC5Gw,0.136
programming basics for beginners,1,cjam-BWAaL8,0.1003
programming basics for beginners,2,hM2T45qbIPI,0.1054
programming basics for beginners,3,lIghF_OewYg,0.1081
programming basics for beginners,4,GAZkxw6DJJE,0.1122
programming basics for beginners,5,EO8QoyRSVaw,0.1125
core concepts every programmer should know,1,gmuTjeQUbTM,0.1137
core concepts every programmer should know,2,wck2LmaMaB4,0.1139
core concepts every programmer should know,3,g_3IKHG-rfA,0.1179
core concepts every programmer should know,4,9HOpanT0GRs,0.1181
core concepts every programmer should know,5,MZVyASCY8sQ,0.1182
what are data structures in programming,1,g_3IKHG-rfA,0.1249
what are data structures in programming,2,WXk7yDqsKxs,0.1325
what are data structures in programming,3,mrRfPVm9nAY,0.1422
what are data structures in programming,4,oRZouQxC5Gw,0.1424
what are data structures in programming,5,hP931079TMw,0.1436
explain arrays and linked lists,1,QgZoz4xFfLE,0.1354
explain arrays and linked lists,2,mrRfPVm9nAY,0.1362
explain arrays and linked lists,3,xwI5OBEnsZU,0.1383
explain arrays and linked lists,4,9kKNFP9srjc,0.1395
explain arrays and linked lists,5,RI8ELvtbUmU,0.1397
introduction to stacks and queues,1,Kt2E8nblvXU,0.1368
introduction to stacks and queues,2,fQbBPa0ADvs,0.1386
introduction to stacks and queues,3,xwI5OBEnsZU,0.1393
introduction to stacks and queues,4,66hDgWottdA,0.1394
introduction to stacks and queues,5,QSFWSjBHIkw,0.1401
how hash tables work,1,u1T8yyEEKWY,0.1371
how hash tables work,2,kb_scuDUHls,0.1391
how hash tables work,3,c6IyCwAV6BY,0.14
how hash tables work,4,G9JxuWk7BDA,0.1424
how hash tables work,5,davl7UFG-Ls,0.1439
time complexity explained,1,kFEBs8wuhiU,0.1236
time complexity explained,2,kRv2ElPNAdY,0.1372
time complexity explained,3,Fi8vnYgMiHA,0.1378
time complexity explained,4,WSsOXo07LeE,0.1386
time complexity explained,5,fQbBPa0ADvs,0.1388
big o notation tutorial,1,mAFoROnOfHs,0.1303
big o notation tutorial,2,Y6JJgOqroAI,0.1329
big o notation tutorial,3,H6gHXV6OgFU,0.1344
big o notation tutorial,4,D5F8kp_azzw,0.136
big o notation tutorial,5,c1Op7YSTwhg,0.1362
algorithm optimization techniques,1,UIf-SlmMays,0.1256
algorithm optimization techniques,2,wu8npoU37cI,0.1258
algorithm optimization techniques,3,ug8W0sFiVJo,0.1288
algorithm optimization techniques,4,g_3IKHG-rfA,0.131
algorithm optimization techniques,5,G9JxuWk7BDA,0.131
