Query,Rank,Video,Score
what are programming fundamentals,1,cjam-BWAaL8,0.5048
what are programming fundamentals,2,ZK6XWSCCgPQ,0.4935
what are programming fundamentals,3,hM2T45qbIPI,0.4801
what are programming fundamentals,4,gmuTjeQUbTM,0.4762
what are programming fundamentals,5,GAZkxw6DJJE,0.475
how to start learning programming,1,cjam-BWAaL8,0.589
how to start learning programming,2,H6gHXV6OgFU,0.5516
how to start learning programming,3,hM2T45qbIPI,0.5201
how to start learning programming,4,boH7_Ate4LM,0.4779
how to start learning programming,5,ZK6XWSCCgPQ,0.4778
beginner coding concepts explained,1,cjam-BWAaL8,0.4829
beginner coding concepts explained,2,ZldNCx4AvEM,0.4721
beginner coding concepts explained,3,g_3IKHG-rfA,0.4484
beginner coding concepts explained,4,ZK6XWSCCgPQ,0.4483
beginner coding concepts explained,5,U6-RekkuORI,0.439
basics of software development,1,LzMnsfqjzkA,0.518
basics of software development,2,cjam-BWAaL8,0.4978
basics of software development,3,gmuTjeQUbTM,0.4575
basics of software development,4,ZldNCx4AvEM,0.4495
basics of software development,5,s950xhRvqYQ,0.4366
introduction to programming logic,1,xwI5OBEnsZU,0.4628
introduction to programming logic,2,g_3IKHG-rfA,0.4324
introduction to programming logic,3,gmuTjeQUbTM,0.4192
introduction to programming logic,4,DosHnyq78xY,0.4172
introduction to programming logic,5,bB5eA7vU9W8,0.4065
how computers execute code,1,Ai00MsNabaE,0.5159
how computers execute code,2,LsY7U2Muau8,0.4001
how computers execute code,3,gmuTjeQUbTM,0.3723
how computers execute code,4,TcZFJrjxOYQ,0.333
how computers execute code,5,ry_mcAPVTOc,0.3139
difference between compiled and interpreted languages,1,ikXDYsdg15c,0.3
difference between compiled and interpreted languages,2,Ai00MsNabaE,0.2807
difference between compiled and interpreted languages,3,912L9KmzSLE,0.2769
difference between compiled and interpreted languages,4,HEGrkgpe7-Y,0.2293
difference between compiled and interpreted languages,5,vc5T3VmCar0,0.2216
how variables and loops work,1,ry_mcAPVTOc,0.4317
how variables and loops work,2,U6-RekkuORI,0.4225
how variables and loops work,3,9kKNFP9srjc,0.422
how variables and loops work,4,pdleuy5lljY,0.4156
how variables and loops work,5,URJBQ3b9n6Y,0.3905
programming basics for beginners,1,cjam-BWAaL8,0.5911
programming basics for beginners,2,ZK6XWSCCgPQ,0.5147
programming basics for beginners,3,hM2T45qbIPI,0.4877
programming basics for beginners,4,GAZkxw6DJJE,0.4851
programming basics for beginners,5,voPcxCFMbbM,0.485
core concepts every programmer should know,1,cjam-BWAaL8,0.5582
core concepts every programmer should know,2,s950xhRvqYQ,0.5502
core concepts every programmer should know,3,lIghF_OewYg,0.5397
core concepts every programmer should know,4,ZK6XWSCCgPQ,0.527
core concepts every programmer should know,5,rgt5GPFgryI,0.5179
what are data structures in programming,1,mrRfPVm9nAY,0.5594
what are data structures in programming,2,xwI5OBEnsZU,0.4552
what are data structures in programming,3,g_3IKHG-rfA,0.3906
what are data structures in programming,4,26ls5lNiijk,0.3644
what are data structures in programming,5,G9JxuWk7BDA,0.348
explain arrays and linked lists,1,mrRfPVm9nAY,0.5848
explain arrays and linked lists,2,26ls5lNiijk,0.382
explain arrays and linked lists,3,U6-RekkuORI,0.3694
explain arrays and linked lists,4,HwFw1abJkUs,0.3604
explain arrays and linked lists,5,xwI5OBEnsZU,0.354
introduction to stacks and queues,1,mrRfPVm9nAY,0.438
introduction to stacks and queues,2,xwI5OBEnsZU,0.3955
introduction to stacks and queues,3,xHUwGx-ZlTM,0.3771
introduction to stacks and queues,4,fQbBPa0ADvs,0.3697
introduction to stacks and queues,5,LzMnsfqjzkA,0.3576
how hash tables work,1,26ls5lNiijk,0.4702
how hash tables work,2,mrRfPVm9nAY,0.4425
how hash tables work,3,kb_scuDUHls,0.3969
how hash tables work,4,u1T8yyEEKWY,0.3969
how hash tables work,5,WXk7yDqsKxs,0.3289
time complexity explained,1,xwI5OBEnsZU,0.327
time complexity explained,2,66hDgWottdA,0.2939
time complexity explained,3,G9JxuWk7BDA,0.2905
