Query,Rank,Video,Distance
what are programming fundamentals,1,cjam-BWAaL8,0.9952
what are programming fundamentals,2,ZK6XWSCCgPQ,1.0065
what are programming fundamentals,3,hM2T45qbIPI,1.0197
what are programming fundamentals,4,gmuTjeQUbTM,1.0236
what are programming fundamentals,5,GAZkxw6DJJE,1.0247
how to start learning programming,1,cjam-BWAaL8,0.9067
how to start learning programming,2,H6gHXV6OgFU,0.947
how to start learning programming,3,hM2T45qbIPI,0.9797
how to start learning programming,4,boH7_Ate4LM,1.0218
how to start learning programming,5,ZK6XWSCCgPQ,1.022
beginner coding concepts explained,1,cjam-BWAaL8,1.0169
beginner coding concepts explained,2,ZldNCx4AvEM,1.0276
beginner coding concepts explained,3,g_3IKHG-rfA,1.0504
beginner coding concepts explained,4,ZK6XWSCCgPQ,1.0505
beginner coding concepts explained,5,U6-RekkuORI,1.0592
basics of software development,1,LzMnsfqjzkA,0.9818
basics of software development,2,cjam-BWAaL8,1.0022
basics of software development,3,gmuTjeQUbTM,1.0417
basics of software development,4,ZldNCx4AvEM,1.0493
basics of software development,5,s950xhRvqYQ,1.0615
introduction to programming logic,1,xwI5OBEnsZU,1.0366
introduction to programming logic,2,g_3IKHG-rfA,1.0655
introduction to programming logic,3,gmuTjeQUbTM,1.0778
introduction to programming logic,4,DosHnyq78xY,1.0796
introduction to programming logic,5,bB5eA7vU9W8,1.0895
how computers execute code,1,Ai00MsNabaE,0.9839
how computers execute code,2,LsY7U2Muau8,1.0954
how computers execute code,3,gmuTjeQUbTM,1.1204
how computers execute code,4,TcZFJrjxOYQ,1.155
how computers execute code,5,ry_mcAPVTOc,1.1714
difference between compiled and interpreted languages,1,ikXDYsdg15c,1.1832
difference between compiled and interpreted languages,2,Ai00MsNabaE,1.1994
difference between compiled and interpreted languages,3,912L9KmzSLE,1.2026
difference between compiled and interpreted languages,4,HEGrkgpe7-Y,1.2415
difference between compiled and interpreted languages,5,vc5T3VmCar0,1.2478
how variables and loops work,1,ry_mcAPVTOc,1.0661
how variables and loops work,2,U6-RekkuORI,1.0747
how variables and loops work,3,9kKNFP9srjc,1.0752
how variables and loops work,4,pdleuy5lljY,1.0811
how variables and loops work,5,URJBQ3b9n6Y,1.1041
programming basics for beginners,1,cjam-BWAaL8,0.9043
programming basics for beginners,2,ZK6XWSCCgPQ,0.9852
programming basics for beginners,3,hM2T45qbIPI,1.0122
programming basics for beginners,4,GAZkxw6DJJE,1.0148
programming basics for beginners,5,voPcxCFMbbM,1.0149
core concepts every programmer should know,1,cjam-BWAaL8,0.94
core concepts every programmer should know,2,s950xhRvqYQ,0.9485
core concepts every programmer should know,3,lIghF_OewYg,0.9594
core concepts every programmer should know,4,ZK6XWSCCgPQ,0.9726
core concepts every programmer should know,5,rgt5GPFgryI,0.982
what are data structures in programming,1,mrRfPVm9nAY,0.9387
what are data structures in programming,2,xwI5OBEnsZU,1.0439
what are data structures in programming,3,g_3IKHG-rfA,1.104
what are data structures in programming,4,26ls5lNiijk,1.1275
what are data structures in programming,5,G9JxuWk7BDA,1.142
explain arrays and linked lists,1,mrRfPVm9nAY,0.9112
explain arrays and linked lists,2,26ls5lNiijk,1.1117
explain arrays and linked lists,3,U6-RekkuORI,1.123
explain arrays and linked lists,4,HwFw1abJkUs,1.131
explain arrays and linked lists,5,xwI5OBEnsZU,1.1366
