Query,Rank,Video,Distance
what are programming fundamentals,1,cjam-BWAaL8,21.3285
what are programming fundamentals,2,ZK6XWSCCgPQ,22.0752
what are programming fundamentals,3,GAZkxw6DJJE,22.2674
what are programming fundamentals,4,hM2T45qbIPI,22.5044
what are programming fundamentals,5,gmuTjeQUbTM,22.6014
how to start learning programming,1,cjam-BWAaL8,19.8955
how to start learning programming,2,H6gHXV6OgFU,20.7362
how to start learning programming,3,boH7_Ate4LM,21.7804
how to start learning programming,4,hM2T45qbIPI,21.8134
how to start learning programming,5,GAZkxw6DJJE,22.3173
beginner coding concepts explained,1,cjam-BWAaL8,22.2821
beginner coding concepts explained,2,U6-RekkuORI,22.4219
beginner coding concepts explained,3,ZldNCx4AvEM,22.5975
beginner coding concepts explained,4,pdleuy5lljY,22.7889
beginner coding concepts explained,5,ZK6XWSCCgPQ,22.9999
basics of software development,1,LzMnsfqjzkA,21.6598
basics of software development,2,cjam-BWAaL8,21.844
basics of software development,3,gmuTjeQUbTM,22.5832
basics of software development,4,ZldNCx4AvEM,22.6084
basics of software development,5,bB5eA7vU9W8,23.1366
introduction to programming logic,1,xwI5OBEnsZU,22.5463
introduction to programming logic,2,g_3IKHG-rfA,23.0647
introduction to programming logic,3,gmuTjeQUbTM,23.4881
introduction to programming logic,4,DosHnyq78xY,23.6129
introduction to programming logic,5,bB5eA7vU9W8,23.8221
how computers execute code,1,Ai00MsNabaE,21.7137
how computers execute code,2,gmuTjeQUbTM,24.2159
how computers execute code,3,LsY7U2Muau8,24.2422
how computers execute code,4,TcZFJrjxOYQ,24.7224
how computers execute code,5,yhTipwdwe9w,25.3466
difference between compiled and interpreted languages,1,912L9KmzSLE,25.9323
difference between compiled and interpreted languages,2,ikXDYsdg15c,25.9463
difference between compiled and interpreted languages,3,Ai00MsNabaE,26.3179
difference between compiled and interpreted languages,4,HEGrkgpe7-Y,26.4616
difference between compiled and interpreted languages,5,vc5T3VmCar0,27.1243
how variables and loops work,1,U6-RekkuORI,23.1853
how variables and loops work,2,ry_mcAPVTOc,23.4294
how variables and loops work,3,pdleuy5lljY,23.434
how variables and loops work,4,9kKNFP9srjc,23.4755
how variables and loops work,5,HwFw1abJkUs,24.2306
programming basics for beginners,1,cjam-BWAaL8,19.8545
programming basics for beginners,2,ZK6XWSCCgPQ,21.6326
programming basics for beginners,3,GAZkxw6DJJE,22.1137
programming basics for beginners,4,Vs4hQsDpxww,22.1612
programming basics for beginners,5,H6gHXV6OgFU,22.1805
core concepts every programmer should know,1,cjam-BWAaL8,20.3359
core concepts every programmer should know,2,s950xhRvqYQ,20.9234
core concepts every programmer should know,3,LzMnsfqjzkA,21.0048
core concepts every programmer should know,4,lIghF_OewYg,21.2248
core concepts every programmer should know,5,ZK6XWSCCgPQ,21.2687
what are data structures in programming,1,mrRfPVm9nAY,20.4366
what are data structures in programming,2,xwI5OBEnsZU,22.5627
what are data structures in programming,3,g_3IKHG-rfA,24.1826
what are data structures in programming,4,26ls5lNiijk,24.3144
what are data structures in programming,5,pdleuy5lljY,24.8535
