Query,Rank,Video,Distance
what are programming fundamentals,1,oRZouQxC5Gw,0.1526
what are programming fundamentals,2,g_3IKHG-rfA,0.1556
what are programming fundamentals,3,UuknxVdqzb4,0.1639
what are programming fundamentals,4,xMrOFhk6Rng,0.1682
what are programming fundamentals,5,gmuTjeQUbTM,0.1711
how to start learning programming,1,q4Ovbh3tpU0,0.1414
how to start learning programming,2,H6gHXV6OgFU,0.1425
how to start learning programming,3,ebarbEsoHzg,0.1461
how to start learning programming,4,LsY7U2Muau8,0.1478
how to start learning programming,5,CcQwCGUdRmw,0.1581
beginner coding concepts explained,1,hM2T45qbIPI,0.138
beginner coding concepts explained,2,ZK6XWSCCgPQ,0.1401
beginner coding concepts explained,3,W4M-g9wsEC4,0.1468
beginner coding concepts explained,4,oRZouQxC5Gw,0.1511
beginner coding concepts explained,5,cfOI7PBhkWk,0.1531
basics of software development,1,yhtdkuw9mbM,0.1315
basics of software development,2,bB5eA7vU9W8,0.1475
basics of software development,3,UsfpzxZNsPo,0.1477
basics of software development,4,626BcUO84og,0.1511
basics of software development,5,EO8QoyRSVaw,0.1519
introduction to programming logic,1,g_3IKHG-rfA,0.1452
introduction to programming logic,2,hM2T45qbIPI,0.1457
introduction to programming logic,3,W4M-g9wsEC4,0.1546
introduction to programming logic,4,WXk7yDqsKxs,0.1588
introduction to programming logic,5,tdsQwuyS6DQ,0.1645
how computers execute code,1,Ai00MsNabaE,0.1616
how computers execute code,2,vc5T3VmCar0,0.1627
how computers execute code,3,W4M-g9wsEC4,0.1647
how computers execute code,4,davl7UFG-Ls,0.166
how computers execute code,5,voPcxCFMbbM,0.1696
difference between compiled and interpreted languages,1,KUbbb0T1YZ8,0.1672
difference between compiled and interpreted languages,2,Vs4hQsDpxww,0.1766
difference between compiled and interpreted languages,3,HEGrkgpe7-Y,0.1767
difference between compiled and interpreted languages,4,LzMnsfqjzkA,0.1767
difference between compiled and interpreted languages,5,_dCn4WrWnBw,0.1794
how variables and loops work,1,iMLGy2wEE_g,0.1646
how variables and loops work,2,odP153inZUo,0.169
how variables and loops work,3,ry_mcAPVTOc,0.1713
how variables and loops work,4,tdsQwuyS6DQ,0.1735
how variables and loops work,5,yhtdkuw9mbM,0.1741
programming basics for beginners,1,g_3IKHG-rfA,0.1348
programming basics for beginners,2,cjam-BWAaL8,0.1423
programming basics for beginners,3,hM2T45qbIPI,0.1485
programming basics for beginners,4,ZK6XWSCCgPQ,0.1536
programming basics for beginners,5,gmuTjeQUbTM,0.1631
core concepts every programmer should know,1,gmuTjeQUbTM,0.1343
core concepts every programmer should know,2,WXk7yDqsKxs,0.1412
core concepts every programmer should know,3,xJjxQjZTryI,0.1495
core concepts every programmer should know,4,odP153inZUo,0.15
core concepts every programmer should know,5,p3sij8QzONQ,0.151
what are data structures in programming,1,26ls5lNiijk,0.1538
what are data structures in programming,2,66hDgWottdA,0.1631
what are data structures in programming,3,mrRfPVm9nAY,0.1632
what are data structures in programming,4,mjXLt97_Cr8,0.1711
what are data structures in programming,5,u1T8yyEEKWY,0.1721
explain arrays and linked lists,1,QgZoz4xFfLE,0.1647
explain arrays and linked lists,2,l2Z9f42HGpY,0.1661
explain arrays and linked lists,3,uJAUeXLXHrY,0.1672
explain arrays and linked lists,4,c6IyCwAV6BY,0.1752
explain arrays and linked lists,5,mrRfPVm9nAY,0.1758
introduction to stacks and queues,1,_fvW2bruZ2M,0.1755
introduction to stacks and queues,2,wu8npoU37cI,0.1759
introduction to stacks and queues,3,D5F8kp_azzw,0.1771
introduction to stacks and queues,4,H-oCV5brtU4,0.1798
introduction to stacks and queues,5,I2LoiJWCKxc,0.1824
how hash tables work,1,mrRfPVm9nAY,0.1631
how hash tables work,2,u1T8yyEEKWY,0.167
how hash tables work,3,26ls5lNiijk,0.1688
how hash tables work,4,wP8SiwiExBk,0.1719
how hash tables work,5,WXk7yDqsKxs,0.1808
time complexity explained,1,UtV8MfnuIEg,0.1668
time complexity explained,2,xHUwGx-ZlTM,0.1746
time complexity explained,3,kFEBs8wuhiU,0.1789
time complexity explained,4,E7o_WdfKszU,0.1792
time complexity explained,5,56Hv0LDjtWM,0.1797
big o notation tutorial,1,W4M-g9wsEC4,0.1712
big o notation tutorial,2,PBx-e7yyk5M,0.182
big o notation tutorial,3,ikXDYsdg15c,0.1836
big o notation tutorial,4,LzMnsfqjzkA,0.1879
big o notation tutorial,5,ojkbIKjRLIM,0.1888
algorithm optimization techniques,1,BMt-qvrEcFY,0.1704
algorithm optimization techniques,2,tdsQwuyS6DQ,0.1724
algorithm optimization techniques,3,IBTx5aGj-6U,0.1726
algorithm optimization techniques,4,kQqrMNviM9U,0.1748
algorithm optimization techniques,5,UIf-SlmMays,0.1755
common data structures used in software engineering,1,26ls5lNiijk,0.1518
common data structures used in software engineering,2,WXk7yDqsKxs,0.1633
common data structures used in software engineering,3,Fr9GqFwl6NM,0.1655
common data structures used in software engineering,4,mrRfPVm9nAY,0.1688
common data structures used in software engineering,5,MdEexYakkHw,0.1707
sorting algorithms explained,1,mrRfPVm9nAY,0.162
sorting algorithms explained,2,LsY7U2Muau8,0.1625
sorting algorithms explained,3,66hDgWottdA,0.1646
sorting algorithms explained,4,MZVyASCY8sQ,0.1729
sorting algorithms explained,5,MdEexYakkHw,0.1777
searching algorithms in programming,1,UIf-SlmMays,0.148
searching algorithms in programming,2,6_qwLx8jwBY,0.1599
searching algorithms in programming,3,YtHdaXuOAks,0.1624
searching algorithms in programming,4,B0TJC4lmzEM,0.1657
searching algorithms in programming,5,xJjxQjZTryI,0.1669
introduction to machine learning,1,6_qwLx8jwBY,0.1355
introduction to machine learning,2,UsfpzxZNsPo,0.1398
introduction to machine learning,3,kQqrMNviM9U,0.1442
introduction to machine learning,4,gmuTjeQUbTM,0.1451
introduction to machine learning,5,GpxFF82I8Nk,0.1497
how machine learning works,1,p3sij8QzONQ,0.1474
how machine learning works,2,GAZkxw6DJJE,0.1497
how machine learning works,3,6_qwLx8jwBY,0.1504
how machine learning works,4,kb_scuDUHls,0.154
how machine learning works,5,xJjxQjZTryI,0.1547
supervised vs unsupervised learning,1,oRZouQxC5Gw,0.1655
supervised vs unsupervised learning,2,WXk7yDqsKxs,0.1675
supervised vs unsupervised learning,3,mAFoROnOfHs,0.1695
supervised vs unsupervised learning,4,xJjxQjZTryI,0.1722
supervised vs unsupervised learning,5,UuknxVdqzb4,0.1737
neural networks explained simply,1,tfpGS_doPvY,0.1341
neural networks explained simply,2,wu8npoU37cI,0.1376
neural networks explained simply,3,Fi8vnYgMiHA,0.1613
neural networks explained simply,4,kRv2ElPNAdY,0.1619
neural networks explained simply,5,zkJt9y7ixiY,0.1648
what is deep learning,1,UsfpzxZNsPo,0.1583
what is deep learning,2,xH9ZKsTY73Y,0.1626
what is deep learning,3,GAZkxw6DJJE,0.1693
what is deep learning,4,jaDi29eRYps,0.1711
what is deep learning,5,tfpGS_doPvY,0.1718
how AI models are trained,1,tr5Fapv80Cw,0.1332
how AI models are trained,2,YtHdaXuOAks,0.143
how AI models are trained,3,aokdrllzkFQ,0.1462
how AI models are trained,4,BMt-qvrEcFY,0.1473
how AI models are trained,5,mvleESOUTRw,0.1498
machine learning project ideas,1,xJjxQjZTryI,0.1445
machine learning project ideas,2,GAZkxw6DJJE,0.1488
machine learning project ideas,3,EO8QoyRSVaw,0.15
machine learning project ideas,4,GpxFF82I8Nk,0.1508
machine learning project ideas,5,tVskbekONlw,0.1533
building ML models step by step,1,suuDVhYXe5Y,0.1565
building ML models step by step,2,tfpGS_doPvY,0.1661
building ML models step by step,3,p3sij8QzONQ,0.1683
building ML models step by step,4,kRv2ElPNAdY,0.17
building ML models step by step,5,gmuTjeQUbTM,0.17
practical applications of machine learning,1,GpxFF82I8Nk,0.1504
practical applications of machine learning,2,zkJt9y7ixiY,0.1565
practical applications of machine learning,3,jaDi29eRYps,0.1575
practical applications of machine learning,4,s950xhRvqYQ,0.1603
practical applications of machine learning,5,IBTx5aGj-6U,0.1608
AI tools developers should know,1,UsfpzxZNsPo,0.1299
AI tools developers should know,2,MdEexYakkHw,0.1359
AI tools developers should know,3,YtHdaXuOAks,0.1399
AI tools developers should know,4,WKIjkxxNH0c,0.1405
AI tools developers should know,5,wu8npoU37cI,0.1435
how to build a web application,1,yhtdkuw9mbM,0.145
how to build a web application,2,c6IyCwAV6BY,0.1566
how to build a web application,3,YtHdaXuOAks,0.163
how to build a web application,4,HEGrkgpe7-Y,0.1649
how to build a web application,5,KOutPbKc9UM,0.1651
front end vs back end development,1,rgt5GPFgryI,0.1622
front end vs back end development,2,KOutPbKc9UM,0.1668
front end vs back end development,3,4T3YlTSWa5s,0.1676
front end vs back end development,4,MtQhSMoHXMY,0.1716
front end vs back end development,5,xHUwGx-ZlTM,0.1748
introduction to HTML CSS JavaScript,1,c6IyCwAV6BY,0.1538
introduction to HTML CSS JavaScript,2,8Si7eCfEpB0,0.1616
introduction to HTML CSS JavaScript,3,yhTipwdwe9w,0.165
introduction to HTML CSS JavaScript,4,tdsQwuyS6DQ,0.1652
introduction to HTML CSS JavaScript,5,yhtdkuw9mbM,0.1722
how APIs work in web development,1,n1sfrc-RjyM,0.1553
how APIs work in web development,2,YtHdaXuOAks,0.1641
how APIs work in web development,3,WSsOXo07LeE,0.1643
how APIs work in web development,4,QSFWSjBHIkw,0.1647
