Query,Rank,Video,Score
what are programming fundamentals,1,g_3IKHG-rfA,0.47614294
what are programming fundamentals,2,G9JxuWk7BDA,0.43768698
what are programming fundamentals,3,gmuTjeQUbTM,0.4312485
what are programming fundamentals,4,66hDgWottdA,0.40661755
what are programming fundamentals,5,o54etZM-DrY,0.3964179
how to start learning programming,1,xJjxQjZTryI,0.51594657
how to start learning programming,2,g_3IKHG-rfA,0.50413036
how to start learning programming,3,ebarbEsoHzg,0.48536056
how to start learning programming,4,H6gHXV6OgFU,0.47815225
how to start learning programming,5,hM2T45qbIPI,0.4667029
beginner coding concepts explained,1,hM2T45qbIPI,0.5688632
beginner coding concepts explained,2,W4M-g9wsEC4,0.5475885
beginner coding concepts explained,3,xJjxQjZTryI,0.5192998
beginner coding concepts explained,4,626BcUO84og,0.5117364
beginner coding concepts explained,5,voPcxCFMbbM,0.50885844
basics of software development,1,yhtdkuw9mbM,0.55675083
basics of software development,2,626BcUO84og,0.48400927
basics of software development,3,ldkfMvE36FI,0.48177052
basics of software development,4,cjam-BWAaL8,0.4804276
basics of software development,5,xJjxQjZTryI,0.4744142
introduction to programming logic,1,g_3IKHG-rfA,0.5365569
introduction to programming logic,2,hM2T45qbIPI,0.5317793
introduction to programming logic,3,ebarbEsoHzg,0.4545348
introduction to programming logic,4,cjam-BWAaL8,0.4365383
introduction to programming logic,5,6_qwLx8jwBY,0.43539757
how computers execute code,1,Ai00MsNabaE,0.3765392
how computers execute code,2,LsY7U2Muau8,0.32676852
how computers execute code,3,W4M-g9wsEC4,0.31887034
how computers execute code,4,Vs4hQsDpxww,0.3111426
how computers execute code,5,g_3IKHG-rfA,0.30343837
difference between compiled and interpreted languages,1,7G9q_5q82hY,0.24914132
difference between compiled and interpreted languages,2,HEGrkgpe7-Y,0.24604456
difference between compiled and interpreted languages,3,ikXDYsdg15c,0.24264361
difference between compiled and interpreted languages,4,g_3IKHG-rfA,0.240424
difference between compiled and interpreted languages,5,wP8SiwiExBk,0.23543318
how variables and loops work,1,kFEBs8wuhiU,0.40601453
how variables and loops work,2,9kKNFP9srjc,0.38203555
how variables and loops work,3,pdleuy5lljY,0.36335474
how variables and loops work,4,URJBQ3b9n6Y,0.32853246
how variables and loops work,5,66hDgWottdA,0.31121936
programming basics for beginners,1,g_3IKHG-rfA,0.5079702
programming basics for beginners,2,xJjxQjZTryI,0.4685957
programming basics for beginners,3,hM2T45qbIPI,0.46652642
programming basics for beginners,4,yhtdkuw9mbM,0.461132
programming basics for beginners,5,cjam-BWAaL8,0.4461158
core concepts every programmer should know,1,bB5eA7vU9W8,0.54028356
core concepts every programmer should know,2,gmuTjeQUbTM,0.4695777
core concepts every programmer should know,3,xJjxQjZTryI,0.46715108
core concepts every programmer should know,4,626BcUO84og,0.46150354
core concepts every programmer should know,5,hM2T45qbIPI,0.45955276
what are data structures in programming,1,mrRfPVm9nAY,0.6116784
what are data structures in programming,2,26ls5lNiijk,0.48434997
