Query,Rank,Video,Distance
what are programming fundamentals,1,g_3IKHG-rfA,1.0236
what are programming fundamentals,2,G9JxuWk7BDA,1.0605
what are programming fundamentals,3,gmuTjeQUbTM,1.0665
what are programming fundamentals,4,66hDgWottdA,1.0894
what are programming fundamentals,5,o54etZM-DrY,1.0987
how to start learning programming,1,xJjxQjZTryI,0.9839
how to start learning programming,2,g_3IKHG-rfA,0.9959
how to start learning programming,3,ebarbEsoHzg,1.0145
how to start learning programming,4,H6gHXV6OgFU,1.0216
how to start learning programming,5,hM2T45qbIPI,1.0328
beginner coding concepts explained,1,hM2T45qbIPI,0.9286
beginner coding concepts explained,2,W4M-g9wsEC4,0.9512
beginner coding concepts explained,3,xJjxQjZTryI,0.9805
beginner coding concepts explained,4,626BcUO84og,0.9882
beginner coding concepts explained,5,voPcxCFMbbM,0.9911
basics of software development,1,yhtdkuw9mbM,0.9415
basics of software development,2,626BcUO84og,1.0159
basics of software development,3,ldkfMvE36FI,1.0181
basics of software development,4,cjam-BWAaL8,1.0194
basics of software development,5,xJjxQjZTryI,1.0253
introduction to programming logic,1,g_3IKHG-rfA,0.9627
introduction to programming logic,2,hM2T45qbIPI,0.9677
introduction to programming logic,3,ebarbEsoHzg,1.0445
introduction to programming logic,4,cjam-BWAaL8,1.0616
introduction to programming logic,5,6_qwLx8jwBY,1.0626
how computers execute code,1,Ai00MsNabaE,1.1167
how computers execute code,2,LsY7U2Muau8,1.1604
how computers execute code,3,W4M-g9wsEC4,1.1672
how computers execute code,4,Vs4hQsDpxww,1.1738
how computers execute code,5,g_3IKHG-rfA,1.1803
difference between compiled and interpreted languages,1,7G9q_5q82hY,1.2254
difference between compiled and interpreted languages,2,HEGrkgpe7-Y,1.228
difference between compiled and interpreted languages,3,ikXDYsdg15c,1.2307
difference between compiled and interpreted languages,4,g_3IKHG-rfA,1.2325
difference between compiled and interpreted languages,5,wP8SiwiExBk,1.2366
how variables and loops work,1,kFEBs8wuhiU,1.0899
how variables and loops work,2,9kKNFP9srjc,1.1117
how variables and loops work,3,pdleuy5lljY,1.1284
how variables and loops work,4,URJBQ3b9n6Y,1.1589
how variables and loops work,5,66hDgWottdA,1.1737
programming basics for beginners,1,g_3IKHG-rfA,0.992
programming basics for beginners,2,xJjxQjZTryI,1.0309
programming basics for beginners,3,hM2T45qbIPI,1.0329
programming basics for beginners,4,yhtdkuw9mbM,1.0381
programming basics for beginners,5,cjam-BWAaL8,1.0525
core concepts every programmer should know,1,bB5eA7vU9W8,0.9589
core concepts every programmer should know,2,gmuTjeQUbTM,1.03
core concepts every programmer should know,3,xJjxQjZTryI,1.0323
core concepts every programmer should know,4,626BcUO84og,1.0378
core concepts every programmer should know,5,hM2T45qbIPI,1.0397
what are data structures in programming,1,mrRfPVm9nAY,0.8813
what are data structures in programming,2,26ls5lNiijk,1.0155
what are data structures in programming,3,g_3IKHG-rfA,1.0745
what are data structures in programming,4,G9JxuWk7BDA,1.1003
what are data structures in programming,5,KOutPbKc9UM,1.1449
explain arrays and linked lists,1,mrRfPVm9nAY,1.0643
explain arrays and linked lists,2,QgZoz4xFfLE,1.0796
explain arrays and linked lists,3,HwFw1abJkUs,1.102
explain arrays and linked lists,4,kFEBs8wuhiU,1.1362
explain arrays and linked lists,5,vZHhmzT9TL8,1.1622
introduction to stacks and queues,1,mrRfPVm9nAY,1.1142
introduction to stacks and queues,2,cfOI7PBhkWk,1.1769
introduction to stacks and queues,3,DosHnyq78xY,1.179
introduction to stacks and queues,4,GpxFF82I8Nk,1.1828
introduction to stacks and queues,5,tVskbekONlw,1.189
how hash tables work,1,kb_scuDUHls,1.0601
how hash tables work,2,mrRfPVm9nAY,1.0753
how hash tables work,3,26ls5lNiijk,1.1041
how hash tables work,4,KOutPbKc9UM,1.1907
how hash tables work,5,u1T8yyEEKWY,1.1932
time complexity explained,1,Tbqmz0ZP8q8,1.1648
time complexity explained,2,pdleuy5lljY,1.1908
time complexity explained,3,UtV8MfnuIEg,1.2013
time complexity explained,4,BRksIg2jkbo,1.2194
time complexity explained,5,Y6JJgOqroAI,1.2239
big o notation tutorial,1,pdleuy5lljY,1.2156
big o notation tutorial,2,GpxFF82I8Nk,1.2175
big o notation tutorial,3,mrRfPVm9nAY,1.2271
