Query,Rank,Video,Distance
what are programming fundamentals,1,g_3IKHG-rfA,15.8438
what are programming fundamentals,2,G9JxuWk7BDA,16.4037
what are programming fundamentals,3,o54etZM-DrY,16.7798
what are programming fundamentals,4,gmuTjeQUbTM,16.8325
what are programming fundamentals,5,66hDgWottdA,17.0299
how to start learning programming,1,xJjxQjZTryI,15.3274
how to start learning programming,2,g_3IKHG-rfA,15.3975
how to start learning programming,3,hM2T45qbIPI,15.6727
how to start learning programming,4,ebarbEsoHzg,15.6995
how to start learning programming,5,H6gHXV6OgFU,15.7952
beginner coding concepts explained,1,hM2T45qbIPI,14.5015
beginner coding concepts explained,2,W4M-g9wsEC4,15.1329
beginner coding concepts explained,3,xJjxQjZTryI,15.2655
beginner coding concepts explained,4,g_3IKHG-rfA,15.341
beginner coding concepts explained,5,626BcUO84og,15.5075
basics of software development,1,yhtdkuw9mbM,14.6864
basics of software development,2,xJjxQjZTryI,15.8293
basics of software development,3,cjam-BWAaL8,15.8435
basics of software development,4,ldkfMvE36FI,15.965
basics of software development,5,Kt2E8nblvXU,16.0261
introduction to programming logic,1,hM2T45qbIPI,15.017
introduction to programming logic,2,g_3IKHG-rfA,15.0795
introduction to programming logic,3,ebarbEsoHzg,16.0982
introduction to programming logic,4,cjam-BWAaL8,16.506
introduction to programming logic,5,Zv2a6ixXEQc,16.5123
how computers execute code,1,Ai00MsNabaE,17.3421
how computers execute code,2,LsY7U2Muau8,18.0396
how computers execute code,3,kb_scuDUHls,18.2857
how computers execute code,4,Vs4hQsDpxww,18.3063
how computers execute code,5,UIf-SlmMays,18.3781
difference between compiled and interpreted languages,1,g_3IKHG-rfA,18.634
difference between compiled and interpreted languages,2,7G9q_5q82hY,18.7832
difference between compiled and interpreted languages,3,HEGrkgpe7-Y,18.9215
difference between compiled and interpreted languages,4,ikXDYsdg15c,19.1668
difference between compiled and interpreted languages,5,wP8SiwiExBk,19.2821
how variables and loops work,1,kFEBs8wuhiU,16.8723
how variables and loops work,2,9kKNFP9srjc,17.3732
how variables and loops work,3,pdleuy5lljY,17.518
how variables and loops work,4,svOjqXjMvGI,18.0739
how variables and loops work,5,66hDgWottdA,18.1916
programming basics for beginners,1,g_3IKHG-rfA,15.6387
programming basics for beginners,2,hM2T45qbIPI,15.8214
programming basics for beginners,3,xJjxQjZTryI,15.8623
programming basics for beginners,4,cfOI7PBhkWk,16.0652
programming basics for beginners,5,voPcxCFMbbM,16.1739
core concepts every programmer should know,1,bB5eA7vU9W8,14.9119
core concepts every programmer should know,2,xJjxQjZTryI,16.0935
core concepts every programmer should know,3,7ysrM5BMe6Q,16.162
core concepts every programmer should know,4,626BcUO84og,16.1964
core concepts every programmer should know,5,hM2T45qbIPI,16.4134
what are data structures in programming,1,mrRfPVm9nAY,13.5361
what are data structures in programming,2,26ls5lNiijk,15.6617
what are data structures in programming,3,g_3IKHG-rfA,16.6201
what are data structures in programming,4,G9JxuWk7BDA,16.797
what are data structures in programming,5,hM2T45qbIPI,17.5579
explain arrays and linked lists,1,mrRfPVm9nAY,16.6233
explain arrays and linked lists,2,QgZoz4xFfLE,17.1646
explain arrays and linked lists,3,kFEBs8wuhiU,17.4002
explain arrays and linked lists,4,HwFw1abJkUs,17.4875
explain arrays and linked lists,5,vZHhmzT9TL8,18.0634
introduction to stacks and queues,1,mrRfPVm9nAY,17.116
introduction to stacks and queues,2,tVskbekONlw,18.0493
introduction to stacks and queues,3,cfOI7PBhkWk,18.3485
introduction to stacks and queues,4,GAZkxw6DJJE,18.4219
introduction to stacks and queues,5,UIf-SlmMays,18.4283
how hash tables work,1,kb_scuDUHls,16.4162
how hash tables work,2,26ls5lNiijk,16.9902
how hash tables work,3,mrRfPVm9nAY,17.0966
how hash tables work,4,KOutPbKc9UM,18.4823
how hash tables work,5,u1T8yyEEKWY,18.5094
time complexity explained,1,Tbqmz0ZP8q8,18.0938
time complexity explained,2,pdleuy5lljY,18.4372
time complexity explained,3,UtV8MfnuIEg,18.7026
time complexity explained,4,Y6JJgOqroAI,18.7991
time complexity explained,5,BRksIg2jkbo,18.9354
big o notation tutorial,1,GpxFF82I8Nk,18.1836
big o notation tutorial,2,pdleuy5lljY,18.7584
big o notation tutorial,3,ikXDYsdg15c,18.8837
big o notation tutorial,4,66hDgWottdA,18.9032
big o notation tutorial,5,ry_mcAPVTOc,19.1659
algorithm optimization techniques,1,xJjxQjZTryI,17.3557
algorithm optimization techniques,2,LsY7U2Muau8,17.3929
algorithm optimization techniques,3,66hDgWottdA,17.5564
algorithm optimization techniques,4,s950xhRvqYQ,17.9052
algorithm optimization techniques,5,6_qwLx8jwBY,18.0648
common data structures used in software engineering,1,mrRfPVm9nAY,14.8447
common data structures used in software engineering,2,26ls5lNiijk,14.8487
common data structures used in software engineering,3,hM2T45qbIPI,17.2727
common data structures used in software engineering,4,UuknxVdqzb4,17.3381
common data structures used in software engineering,5,KOutPbKc9UM,17.3658
sorting algorithms explained,1,mrRfPVm9nAY,18.726
sorting algorithms explained,2,LsY7U2Muau8,18.8621
sorting algorithms explained,3,66hDgWottdA,19.183
sorting algorithms explained,4,FqJuiLbgqNA,19.3141
sorting algorithms explained,5,kFEBs8wuhiU,19.4303
searching algorithms in programming,1,LsY7U2Muau8,16.8692
searching algorithms in programming,2,66hDgWottdA,17.9036
searching algorithms in programming,3,mrRfPVm9nAY,17.9053
